,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
124,nazco,naces / nacés,nace,nacemos,nacéis,nacen
125,comprendo,comprendes / comprendés,comprende,comprendemos,comprendéis,comprenden
126,permito,permites / permitís,permite,permitimos,permitís,permiten
127,olvido,olvidas / olvidás,olvida,olvidamos,olvidáis,olvidan
128,abandero,abanderas / abanderás,abandera,abanderamos,abanderáis,abanderan
129,recomiendo,recomiendas / recomendás,recomienda,recomendamos,recomendáis,recomiendan
130,asisto,asistes / asistís,asiste,asistimos,asistís,asisten
131,cuesto,cuestas / costás,cuesta,costamos,costáis,cuestan
132,envío,envías / enviás,envía,enviamos,enviáis,envían
133,preparo,preparas / preparás,prepara,preparamos,preparáis,preparan
134,cocino,cocinas / cocinás,cocina,cocinamos,cocináis,cocinan
135,comparto,compartes / compartís,comparte,compartimos,compartís,comparten
136,pregunto,preguntas / preguntás,pregunta,preguntamos,preguntáis,preguntan
137,cuido,cuidas / cuidás,cuida,cuidamos,cuidáis,cuidan
138,resuelvo,resuelves / resolvés,resuelve,resolvemos,resolvéis,resuelven
139,callo,callas / callás,calla,callamos,calláis,callan
140,recojo,recoges / recogés,recoge,recogemos,recogéis,recogen
141,muestro,muestras / mostrás,muestra,mostramos,mostráis,muestran
142,hielo,hielas / helás,hiela,helamos,heláis,hielan
143,ruego,ruegas / rogás,ruega,rogamos,rogáis,ruegan
144,crezco,creces / crecés,crece,crecemos,crecéis,crecen
145,hincho,hinches / henchís,hinche,henchimos,henchís,hinchen
146,habitúo,habitúas / habituás,habitúa,habituamos,habituáis,habitúan
147,amo,amas / amás,ama,amamos,amáis,aman
148,sueno,suenas / sonás,suena,sonamos,sonáis,suenan
149,escojo,escoges / escogés,escoge,escogemos,escogéis,escogen
150,duelo,dueles / dolés,duele,dolemos,doléis,duelen
151,exijo,exiges / exigís,exige,exigimos,exigís,exigen
152,entro,entras / entrás,entra,entramos,entráis,entran
153,vuelo,vuelas / volás,vuela,volamos,voláis,vuelan
154,explico,explicas / explicás,explica,explicamos,explicáis,explican
155,destruyo,destruyes / destruís,destruye,destruimos,destruís,destruyen
156,navego,navegas / navegás,navega,navegamos,navegáis,navegan
157,lloro,lloras / llorás,llora,lloramos,lloráis,lloran
158,valgo,vales / valés,vale,valemos,valéis,valen
159,apago,apagas / apagás,apaga,apagamos,apagáis,apagan
160,pruebo,pruebas / probás,prueba,probamos,probáis,prueban
161,halago,halagas / halagás,halaga,halagamos,halagáis,halagan
162,manejo,manejas / manejás,maneja,manejamos,manejáis,manejan
163,corto,cortas / cortás,corta,cortamos,cortáis,cortan
164,obtengo,obtienes / obtenés,obtiene,obtenemos,obtenéis,obtienen
165,gozo,gozas / gozás,goza,gozamos,gozáis,gozan
166,harto,hartas / hartás,harta,hartamos,hartáis,hartan
167,sufro,sufres / sufrís,sufre,sufrimos,sufrís,sufren
168,incluyo,incluyes / incluís,incluye,incluimos,incluís,incluyen
169,habilito,habilitas / habilitás,habilita,habilitamos,habilitáis,habilitan
170,aburro,aburres / aburrís,aburre,aburrimos,aburrís,aburren
171,habito,habitas / habitás,habita,habitamos,habitáis,habitan
172,echo,echas / echás,echa,echamos,echáis,echan
173,regreso,regresas / regresás,regresa,regresamos,regresáis,regresan
174,corrijo,corriges / corregís,corrige,corregimos,corregís,corrigen
175,presto,prestas / prestás,presta,prestamos,prestáis,prestan
176,barro,barres / barrés,barre,barremos,barréis,barren
177,haciendo,haciendas / hacendás,hacienda,hacendamos,hacendáis,haciendan
178,seco,secas / secás,seca,secamos,secáis,secan
179,cruzo,cruzas / cruzás,cruza,cruzamos,cruzáis,cruzan
180,hincho,hinchas / hinchás,hincha,hinchamos,hincháis,hinchan
181,hostigo,hostigas / hostigás,hostiga,hostigamos,hostigáis,hostigan
182,empaco,empacas / empacás,empaca,empacamos,empacáis,empacan
183,hospedo,hospedas / hospedás,hospeda,hospedamos,hospedáis,hospedan
184,ceno,cenas / cenás,cena,cenamos,cenáis,cenan
185,defiendo,defiendes / defendés,defiende,defendemos,defendéis,defienden
186,entrego,entregas / entregás,entrega,entregamos,entregáis,entregan
187,sumerjo,sumerges / sumergís,sumerge,sumergimos,sumergís,sumergen
188,produzco,produces / producís,produce,producimos,producís,producen
189,acabo,acabas / acabás,acaba,acabamos,acabáis,acaban
190,organizo,organizas / organizás,organiza,organizamos,organizáis,organizan
191,bajo,bajas / bajás,baja,bajamos,bajáis,bajan
192,suelo,sueles / solés,suele,solemos,soléis,suelen
193,patino,patinas / patinás,patina,patinamos,patináis,patinan
194,cuelgo,cuelgas / colgás,cuelga,colgamos,colgáis,cuelgan
195,caliento,calientas / calentás,calienta,calentamos,calentáis,calientan
196,hipnotizo,hipnotizas / hipnotizás,hipnotiza,hipnotizamos,hipnotizáis,hipnotizan
197,peino,peinas / peinás,peina,peinamos,peináis,peinan
198,tiendo,tiendes / tendés,tiende,tendemos,tendéis,tienden
199,contesto,contestas / contestás,contesta,contestamos,contestáis,contestan
200,enciendo,enciendes / encendés,enciende,encendemos,encendéis,encienden
201,participo,participas / participás,participa,participamos,participáis,participan
202,hacino,hacinas / hacinás,hacina,hacinamos,hacináis,hacinan
203,quito,quitas / quitás,quita,quitamos,quitáis,quitan
204,heredo,heredas / heredás,hereda,heredamos,heredáis,heredan
205,creo,creas / creás,crea,creamos,creáis,crean
206,discuto,discutes / discutís,discute,discutimos,discutís,discuten
207,acepto,aceptas / aceptás,acepta,aceptamos,aceptáis,aceptan
208,descubro,descubres / descubrís,descubre,descubrimos,descubrís,descubren
209,gasto,gastas / gastás,gasta,gastamos,gastáis,gastan
210,dirijo,diriges / dirigís,dirige,dirigimos,dirigís,dirigen
211,abrazo,abrazas / abrazás,abraza,abrazamos,abrazáis,abrazan
212,yazco o yazgo o yago,yaces / yacés,yace,yacemos,yacéis,yacen
213,paro,paras / parás,para,paramos,paráis,paran
214,obedezco,obedeces / obedecés,obedece,obedecemos,obedecéis,obedecen
215,disfruto,disfrutas / disfrutás,disfruta,disfrutamos,disfrutáis,disfrutan
216,niego,niegas / negás,niega,negamos,negáis,niegan
217,intereso,interesas / interesás,interesa,interesamos,interesáis,interesan
218,trato,tratas / tratás,trata,tratamos,tratáis,tratan
219,protejo,proteges / protegés,protege,protegemos,protegéis,protegen
220,cumplo,cumples / cumplís,cumple,cumplimos,cumplís,cumplen
221,abandono,abandonas / abandonás,abandona,abandonamos,abandonáis,abandonan
222,mido,mides / medís,mide,medimos,medís,miden
223,nievo,nievas / nevás,nieva,nevamos,neváis,nievan
224,canso,cansas / cansás,cansa,cansamos,cansáis,cansan
225,sacudo,sacudes / sacudís,sacude,sacudimos,sacudís,sacuden
226,invierto,inviertes / invertís,invierte,invertimos,invertís,invierten
227,me arrepiento,te arrepientes / te arrepentís,se arrepiente,nos arrepentimos,os arrepentís,se arrepienten
228,fijo,fijas / fijás,fija,fijamos,fijáis,fijan
229,ducho,duchas / duchás,ducha,duchamos,ducháis,duchan
230,encanto,encantas / encantás,encanta,encantamos,encantáis,encantan
231,firmo,firmas / firmás,firma,firmamos,firmáis,firman
232,sofrío,sofríes / sofreís,sofríe,sofreímos,sofreís,sofríen
233,beso,besas / besás,besa,besamos,besáis,besan
234,contribuyo,contribuyes / contribuís,contribuye,contribuimos,contribuís,contribuyen
235,mezclo,mezclas / mezclás,mezcla,mezclamos,mezcláis,mezclan
236,lleno,llenas / llenás,llena,llenamos,llenáis,llenan
237,riego,riegas / regás,riega,regamos,regáis,riegan
238,bendigo,bendices / bendecís,bendice,bendecimos,bendecís,bendicen
239,acuerdo,acuerdas / acordás,acuerda,acordamos,acordáis,acuerdan
240,utilizo,utilizas / utilizás,utiliza,utilizamos,utilizáis,utilizan
241,reciclo,reciclas / reciclás,recicla,reciclamos,recicláis,reciclan
242,ahorro,ahorras / ahorrás,ahorra,ahorramos,ahorráis,ahorran
243,respondo,respondes / respondés,responde,respondemos,respondéis,responden
244,paseo,paseas / paseás,pasea,paseamos,paseáis,pasean
245,poseo,posees / poseés,posee,poseemos,poseéis,poseen
246,influyo,influyes / influís,influye,influimos,influís,influyen
247,malentiendo,malentiendes / malentendés,malentiende,malentendemos,malentendéis,malentienden
248,continúo,continúas / continuás,continúa,continuamos,continuáis,continúan
249,junto,juntas / juntás,junta,juntamos,juntáis,juntan
250,vaco,vacas / vacás,vaca,vacamos,vacáis,vacan
251,monto,montas / montás,monta,montamos,montáis,montan
252,tuerzo,tuerces / torcés,tuerce,torcemos,torcéis,tuercen
253,intento,intentas / intentás,intenta,intentamos,intentáis,intentan
254,supongo,supones / suponés,supone,suponemos,suponéis,suponen
255,gradúo,gradúas / graduás,gradúa,graduamos,graduáis,gradúan
256,meriendo,meriendas / merendás,merienda,merendamos,merendáis,meriendan
257,venzo,vences / vencés,vence,vencemos,vencéis,vencen
258,parto,partes / partís,parte,partimos,partís,parten
259,descanso,descansas / descansás,descansa,descansamos,descansáis,descansan
260,atraigo,atraes / atraés,atrae,atraemos,atraéis,atraen
261,establezco,estableces / establecés,establece,establecemos,establecéis,establecen
262,invito,invitas / invitás,invita,invitamos,invitáis,invitan
263,vierto,viertes / vertés,vierte,vertemos,vertéis,vierten
264,ocurro,ocurres / ocurrís,ocurre,ocurrimos,ocurrís,ocurren
265,imprimo,imprimes / imprimís,imprime,imprimimos,imprimís,imprimen
266,buceo,buceas / buceás,bucea,buceamos,buceáis,bucean
267,zafo,zafas / zafás,zafa,zafamos,zafáis,zafan
268,abanico,abanicas / abanicás,abanica,abanicamos,abanicáis,abanican
269,reconozco,reconoces / reconocés,reconoce,reconocemos,reconocéis,reconocen
270,grito,gritas / gritás,grita,gritamos,gritáis,gritan
271,convenzo,convences / convencés,convence,convencemos,convencéis,convencen
272,temo,temes / temés,teme,tememos,teméis,temen
273,satisfago,satisfaces / satisfacés,satisface,satisfacemos,satisfacéis,satisfacen
274,mato,matas / matás,mata,matamos,matáis,matan
275,advierto,adviertes / advertís,advierte,advertimos,advertís,advierten
276,abogo,abogas / abogás,aboga,abogamos,abogáis,abogan
277,insisto,insistes / insistís,insiste,insistimos,insistís,insisten
278,apetezco,apeteces / apetecés,apetece,apetecemos,apetecéis,apetecen
279,falto,faltas / faltás,falta,faltamos,faltáis,faltan
280,giro,giras / girás,gira,giramos,giráis,giran
281,preocupo,preocupas / preocupás,preocupa,preocupamos,preocupáis,preocupan
282,arreglo,arreglas / arreglás,arregla,arreglamos,arregláis,arreglan
283,adelgazo,adelgazas / adelgazás,adelgaza,adelgazamos,adelgazáis,adelgazan
284,meto,metes / metés,mete,metemos,metéis,meten
285,saludo,saludas / saludás,saluda,saludamos,saludáis,saludan
286,finjo,finges / fingís,finge,fingimos,fingís,fingen
287,peleo,peleas / peleás,pelea,peleamos,peleáis,pelean
288,pico,picas / picás,pica,picamos,picáis,pican
289,tiro,tiras / tirás,tira,tiramos,tiráis,tiran
290,cago,cagas / cagás,caga,cagamos,cagáis,cagan
291,vacío,vacías / vaciás,vacía,vaciamos,vaciáis,vacían
292,dedico,dedicas / dedicás,dedica,dedicamos,dedicáis,dedican
293,mudo,mudas / mudás,muda,mudamos,mudáis,mudan
294,sorprendo,sorprendes / sorprendés,sorprende,sorprendemos,sorprendéis,sorprenden
295,abato,abates / abatís,abate,abatimos,abatís,abaten
296,uno,unes / unís,une,unimos,unís,unen
297,salto,saltas / saltás,salta,saltamos,saltáis,saltan
298,quemo,quemas / quemás,quema,quemamos,quemáis,queman
299,recomienzo,recomienzas / recomenzás,recomienza,recomenzamos,recomenzáis,recomienzan
300,odio,odias / odiás,odia,odiamos,odiáis,odian
301,actúo,actúas / actuás,actúa,actuamos,actuáis,actúan
302,aparezco,apareces / aparecés,aparece,aparecemos,aparecéis,aparecen
303,salvo,salvas / salvás,salva,salvamos,salváis,salvan
304,agradezco,agradeces / agradecés,agradece,agradecemos,agradecéis,agradecen
305,dibujo,dibujas / dibujás,dibuja,dibujamos,dibujáis,dibujan
306,guardo,guardas / guardás,guarda,guardamos,guardáis,guardan
307,impido,impides / impedís,impide,impedimos,impedís,impiden
308,apruebo,apruebas / aprobás,aprueba,aprobamos,aprobáis,aprueban
309,fumo,fumas / fumás,fuma,fumamos,fumáis,fuman
310,celebro,celebras / celebrás,celebra,celebramos,celebráis,celebran
311,recorro,recorres / recorrés,recorre,recorremos,recorréis,recorren
312,reúno,reúnes / reunís,reúne,reunimos,reunís,reúnen
313,quiebro,quiebras / quebrás,quiebra,quebramos,quebráis,quiebran
314,reduzco,reduces / reducís,reduce,reducimos,reducís,reducen
315,tardo,tardas / tardás,tarda,tardamos,tardáis,tardan
316,merezco,mereces / merecés,merece,merecemos,merecéis,merecen
317,realizo,realizas / realizás,realiza,realizamos,realizáis,realizan
318,marcho,marchas / marchás,marcha,marchamos,marcháis,marchan
319,ejerzo,ejerces / ejercés,ejerce,ejercemos,ejercéis,ejercen
320,cuestiono,cuestionas / cuestionás,cuestiona,cuestionamos,cuestionáis,cuestionan
321,compito,compites / competís,compite,competimos,competís,compiten
322,choco,chocas / chocás,choca,chocamos,chocáis,chocan
323,ordeno,ordenas / ordenás,ordena,ordenamos,ordenáis,ordenan
324,marco,marcas / marcás,marca,marcamos,marcáis,marcan
325,averiguo,averiguas / averiguás,averigua,averiguamos,averiguáis,averiguan
326,demuestro,demuestras / demostrás,demuestra,demostramos,demostráis,demuestran
327,cancelo,cancelas / cancelás,cancela,cancelamos,canceláis,cancelan
328,convierto,conviertes / convertís,convierte,convertimos,convertís,convierten
329,lanzo,lanzas / lanzás,lanza,lanzamos,lanzáis,lanzan
330,acerco,acercas / acercás,acerca,acercamos,acercáis,acercan
331,pinto,pintas / pintás,pinta,pintamos,pintáis,pintan
332,afeito,afeitas / afeitás,afeita,afeitamos,afeitáis,afeitan
333,escondo,escondes / escondés,esconde,escondemos,escondéis,esconden
334,pego,pegas / pegás,pega,pegamos,pegáis,pegan
335,enfoco,enfocas / enfocás,enfoca,enfocamos,enfocáis,enfocan
336,abolo,aboles / abolís,abole,abolimos,abolís,abolen
337,colijo,coliges / colegís,colige,colegimos,colegís,coligen
338,gimo,gimes / gemís,gime,gemimos,gemís,gimen
339,abstengo,abstienes / abstenés,abstiene,abstenemos,abstenéis,abstienen
340,alquilo,alquilas / alquilás,alquila,alquilamos,alquiláis,alquilan
341,kilometro,kilometras / kilometrás,kilometra,kilometramos,kilometráis,kilometran
342,apoyo,apoyas / apoyás,apoya,apoyamos,apoyáis,apoyan
343,esquío,esquías / esquiás,esquía,esquiamos,esquiáis,esquían
344,amenazo,amenazas / amenazás,amenaza,amenazamos,amenazáis,amenazan
345,aviso,avisas / avisás,avisa,avisamos,avisáis,avisan
346,planeo,planeas / planeás,planea,planeamos,planeáis,planean
347,aboco,abocas / abocás,aboca,abocamos,abocáis,abocan
348,desaparezco,desapareces / desaparecés,desaparece,desaparecemos,desaparecéis,desaparecen
349,cargo,cargas / cargás,carga,cargamos,cargáis,cargan
350,abarco,abarcas / abarcás,abarca,abarcamos,abarcáis,abarcan
351,abofeteo,abofeteas / abofeteás,abofetea,abofeteamos,abofeteáis,abofetean
352,borro,borras / borrás,borra,borramos,borráis,borran
353,atiendo,atiendes / atendés,atiende,atendemos,atendéis,atienden
354,abdico,abdicas / abdicás,abdica,abdicamos,abdicáis,abdican
355,ocupo,ocupas / ocupás,ocupa,ocupamos,ocupáis,ocupan
356,guío,guías / guias,guía,guiamos,guiais,guían
357,propongo,propones / proponés,propone,proponemos,proponéis,proponen
358,abastezco,abasteces / abastecés,abastece,abastecemos,abastecéis,abastecen
359,toso,toses / tosés,tose,tosemos,toséis,tosen
360,aterrizo,aterrizas / aterrizás,aterriza,aterrizamos,aterrizáis,aterrizan
361,defino,defines / definís,define,definimos,definís,definen
362,califico,calificas / calificás,califica,calificamos,calificáis,califican
363,describo,describes / describís,describe,describimos,describís,describen
364,dependo,dependes / dependés,depende,dependemos,dependéis,dependen
365,xerocopio,xerocopias / xerocopiás,xerocopia,xerocopiamos,xerocopiáis,xerocopian
366,deletreo,deletreas / deletreás,deletrea,deletreamos,deletreáis,deletrean
367,opongo,opones / oponés,opone,oponemos,oponéis,oponen
368,cabalgo,cabalgas / cabalgás,cabalga,cabalgamos,cabalgáis,cabalgan
369,aprovecho,aprovechas / aprovechás,aprovecha,aprovechamos,aprovecháis,aprovechan
370,golpeo,golpeas / golpeás,golpea,golpeamos,golpeáis,golpean
371,alcanzo,alcanzas / alcanzás,alcanza,alcanzamos,alcanzáis,alcanzan
372,beneficio,beneficias / beneficiás,beneficia,beneficiamos,beneficiáis,benefician
373,cepillo,cepillas / cepillás,cepilla,cepillamos,cepilláis,cepillan
374,gobierno,gobiernas / gobernás,gobierna,gobernamos,gobernáis,gobiernan
375,muerdo,muerdes / mordés,muerde,mordemos,mordéis,muerden
376,abono,abonas / abonás,abona,abonamos,abonáis,abonan
377,siembro,siembras / sembrás,siembra,sembramos,sembráis,siembran
378,transfiero,transfieres / transferís,transfiere,transferimos,transferís,transfieren
379,coloco,colocas / colocás,coloca,colocamos,colocáis,colocan
380,coloco,colocas / colocás,coloca,colocamos,colocáis,colocan
381,juzgo,juzgas / juzgás,juzga,juzgamos,juzgáis,juzgan
382,prohíbo,prohíbes / prohibís,prohíbe,prohibimos,prohibís,prohíben
383,detengo,detienes / detenés,detiene,detenemos,detenéis,detienen
384,publico,publicas / publicás,publica,publicamos,publicáis,publican
385,malgasto,malgastas / malgastás,malgasta,malgastamos,malgastáis,malgastan
386,madrugo,madrugas / madrugás,madruga,madrugamos,madrugáis,madrugan
387,enamoro,enamoras / enamorás,enamora,enamoramos,enamoráis,enamoran
388,regalo,regalas / regalás,regala,regalamos,regaláis,regalan
389,imagino,imaginas / imaginás,imagina,imaginamos,imagináis,imaginan
390,mejoro,mejoras / mejorás,mejora,mejoramos,mejoráis,mejoran
391,padezco,padeces / padecés,padece,padecemos,padecéis,padecen
392,fascino,fascinas / fascinás,fascina,fascinamos,fascináis,fascinan
393,adquiero,adquieres / adquirís,adquiere,adquirimos,adquirís,adquieren
394,zampo,zampas / zampás,zampa,zampamos,zampáis,zampan
395,abomino,abominas / abominás,abomina,abominamos,abomináis,abominan
396,juro,juras / jurás,jura,juramos,juráis,juran
397,dudo,dudas / dudás,duda,dudamos,dudáis,dudan
398,persigo,persigues / perseguís,persigue,perseguimos,perseguís,persiguen
399,maquillo,maquillas / maquillás,maquilla,maquillamos,maquilláis,maquillan
400,bautizo,bautizas / bautizás,bautiza,bautizamos,bautizáis,bautizan
401,jubilo,jubilas / jubilás,jubila,jubilamos,jubiláis,jubilan
402,rechazo,rechazas / rechazás,rechaza,rechazamos,rechazáis,rechazan
403,introduzco,introduces / introducís,introduce,introducimos,introducís,introducen
404,bienquiero,bienquieres / bienquerés,bienquiere,bienqueremos,bienqueréis,bienquieren
405,impongo,impones / imponés,impone,imponemos,imponéis,imponen
406,basto,bastas / bastás,basta,bastamos,bastáis,bastan
407,obligo,obligas / obligás,obliga,obligamos,obligáis,obligan
408,confío,confías / confiás,confía,confiamos,confiáis,confían
409,tiemblo,tiemblas / temblás,tiembla,temblamos,tembláis,tiemblan
410,pertenezco,perteneces / pertenecés,pertenece,pertenecemos,pertenecéis,pertenecen
411,elimino,eliminas / eliminás,elimina,eliminamos,elimináis,eliminan
412,confieso,confiesas / confesás,confiesa,confesamos,confesáis,confiesan
413,percato,percatas / percatás,percata,percatamos,percatáis,percatan
414,enfrío,enfrías / enfriás,enfría,enfriamos,enfriáis,enfrían
415,grabo,grabas / grabás,graba,grabamos,grabáis,graban
416,pelo,pelas / pelás,pela,pelamos,peláis,pelan
417,identifico,identificas / identificás,identifica,identificamos,identificáis,identifican
418,distingo,distingues / distinguís,distingue,distinguimos,distinguís,distinguen
419,abarato,abaratas / abaratás,abarata,abaratamos,abaratáis,abaratan
420,molesto,molestas / molestás,molesta,molestamos,molestáis,molestan
421,atravieso,atraviesas / atravesás,atraviesa,atravesamos,atravesáis,atraviesan
422,distribuyo,distribuyes / distribuís,distribuye,distribuimos,distribuís,distribuyen
423,machaco,machacas / machacás,machaca,machacamos,machacáis,machacan
424,importo,importas / importás,importa,importamos,importáis,importan
