,Slowo,Tlumaczenie
115,ofrecer,to offer 
116,romper,to break 
117,hackear,to hack 
118,devolver,to return 
119,cubrir,to cover 
120,oler,to smell 
121,mantener,to maintain 
122,mandar,to order / tell sb to do sth 
123,construir,to build/manufacture 
124,nacer,to beborn 
125,comprender,to understand 
126,permitir,to allow 
127,olvidar,to forget 
128,abanderar,to register 
129,recomendar,to recommend 
130,asistir,to assist / attend 
131,costar,to cost 
132,enviar,to send 
133,preparar,to prepare 
134,cocinar,to cook 
135,compartir,to share 
136,preguntar,to ask 
137,cuidar,to care for / look after
138,resolver,to resolve 
139,callar,to stop talking / go quiet 
140,recoger,to pick up 
141,mostrar,to show 
142,helar,to freeze 
143,rogar,to beg 
144,crecer,to grow 
145,henchir,to fill/fillup 
146,habituar,to get used to 
147,amar,to love 
148,sonar,to sound 
149,escoger,to choose 
150,doler,to hurt 
151,exigir,to demand/require
152,entrar,to go in 
153,volar,to fly 
154,explicar,to explain 
155,destruir,to destroy/wreck/demolish 
156,navegar,to sail/navigate
157,llorar,to cry 
158,valer,to be worth 
159,apagar,to putout/extinguish 
160,probar,to taste /  try
161,halagar,to flatter 
162,manejar,to use /  handle
163,cortar,to cut 
164,obtener,to get/win 
165,gozar,to enjoy 
166,hartar,to to get bored of / to gorge 
167,sufrir,to suffer 
168,incluir,to include 
169,habilitar,to fit out / authorise
170,aburrir,to bore 
171,habitar,to inhabit 
172,echar,to throw 
173,regresar,to go / come back 
174,corregir,to correct 
175,prestar,to lend 
176,barrer,to sweep 
177,hacendar,to grant lands 
178,secar,to dry 
179,cruzar,to cross 
180,hinchar,to swell 
181,hostigar,to bother
182,empacar,to pack
183,hospedar,to provide with accommodation 
184,cenar,to have an evening meal 
185,defender,to defend/stand up for 
186,entregar,to hand over 
187,sumergir,to immerse
188,producir,to produce 
189,acabar,to finish 
190,organizar,to organize 
191,bajar,to go down
192,soler,to usually do something 
193,patinar,to skate 
194,colgar,to hang 
195,calentar,to heat up/warm up 
196,hipnotizar,to hipnotize 
197,peinar,to comb 
198,tender,to tend / hang (washing)
199,contestar,to answer 
200,encender,to light/inflame 
201,participar,to participate 
202,hacinar,to stack/pile up
203,quitar,to take sth off / remove 
204,heredar,to inherit 
205,crear,to create 
206,discutir,to discuss / argue
207,aceptar,to accept 
208,descubrir,to discover 
209,gastar,to expend 
210,dirigir,to manage 
211,abrazar,to embrace 
212,yacer,to lie 
213,parar,to stop 
214,obedecer,to obey 
215,disfrutar,to enjoy 
216,negar,to deny 
217,interesar,to be interested in 
218,tratar,to treat / try 
219,proteger,to protect 
220,cumplir,to carry out /  fulfil 
221,abandonar,to abandon /  leave 
222,medir,to measure 
223,nevar,to snow 
224,cansar,to tire 
225,sacudir,to shake 
226,invertir,to reverse/invert 
227,arrepentir,to regret 
228,fijar,to fix 
229,duchar,to have a shower 
230,encantar,to love something 
231,firmar,to sign 
232,sofreir,to saute /  fry lightly 
233,besar,to kiss 
234,contribuir,to contribute 
235,mezclar,to mix 
236,llenar,to fill 
237,regar,to water /  irrigate 
238,bendecir,to bless 
239,acordar,to haceralgo 
240,utilizar,to use 
241,reciclar,to recycle /  reuse 
242,ahorrar,to save 
243,responder,to answer 
244,pasear,to walk 
245,poseer,to own /  possess
246,influir,to influence 
247,malentender,to misunderstand 
248,continuar,to continue 
249,juntar,to join 
250,vacar,to become vacant 
251,montar,to ride /  set up 
252,torcer,to twist 
253,intentar,to try 
254,suponer,to suppose 
255,graduar,to adjust /  graduate 
256,merendar,to have a snack in the afternoon 
257,vencer,to conquer /  overcome 
258,partir,to cut up /  leave
259,descansar,to rest 
260,atraer,to attract 
261,establecer,to establish 
262,invitar,to invite 
263,verter,to spill 
264,ocurrir,to happen 
265,imprimir,to print 
266,bucear,to dive 
267,zafar,to escape 
268,abanicar,to fan (oneself) 
269,reconocer,to recognise 
270,gritar,to shout 
271,convencer,to convince 
272,temer,to fear / be afraid of 
273,satisfacer,to satisfy/quench 
274,matar,to kill 
275,advertir,to warn 
276,abogar,to defend someone 
277,insistir,to insist 
278,apetecer,to fancy doing 
279,faltar,to need 
280,girar,to turn 
281,preocupar,to worry 
282,arreglar,to repair /  fix 
283,adelgazar,to lose weight 
284,meter,to put in 
285,saludar,to say hello / greet 
286,fingir,to pretend 
287,pelear,to quarrel /  argue
288,picar,to bite 
289,tirar,to throw /  waste 
290,cagar,to shit 
291,vaciar,to empty / clear 
292,dedicar,to dedicate 
293,mudar,to move house 
294,sorprender,to surprise 
295,abatir,to overthrow /  knock down 
296,unir,to unit / join 
297,saltar,to jump 
298,quemar,to burn 
299,recomenzar,to begin again 
300,odiar,to hate 
301,actuar,to act 
302,aparecer,to appear/showup 
303,salvar,to save 
304,agradecer,to thank 
305,dibujar,to draw 
306,guardar,to keep 
307,impedir,to prevent 
308,aprobar,to approve 
309,fumar,to smoke 
310,celebrar,to celebrate 
311,recorrer,to travel 
312,reunir,to reunite 
313,quebrar,to break 
314,reducir,to reduce 
315,tardar,to take time 
316,merecer,to deserve 
317,realizar,to carry out 
318,marchar,to go /leave 
319,ejercer,to practise /  exercise
320,cuestionar,to question 
321,competir,to compete 
322,chocar,to crash 
323,ordenar,to tidy up /  order 
324,marcar,to mark 
325,averiguar,to find out 
326,demostrar,to demonstrate 
327,cancelar,to cancel 
328,convertir,to convert 
329,lanzar,to throw/fling 
330,acercar,to get near / approach 
331,pintar,to paint 
332,afeitar,to shave 
333,esconder,to hide 
334,pegar,to stick /  hit
335,enfocar,to focus 
336,abolir,to abolish 
337,colegir,to deduce 
338,gemir,to moan/groan 
339,abstener,to abstain 
340,alquilar,to rent 
341,kilometrar,to measure in kilometres 
342,apoyar,to lean 
343,esquiar,to ski 
344,amenazar,to threaten 
345,avisar,to let somebody know 
346,planear,to plan 
347,abocar,to head for something 
348,desaparecer,to disappear 
349,cargar,to load 
350,abarcar,to cover /  cope with 
351,abofetear,to slap 
352,borrar,to rub /  delete 
353,atender,to attend to 
354,abdicar,to abdicate 
355,ocupar,to take up /occupy 
356,guiar,to guide 
357,proponer,to propose 
358,abastecer,to supply 
359,toser,to cough 
360,aterrizar,to land 
361,definir,to define 
362,calificar,to mark /grade 
363,describir,to describe 
364,depender,to depend 
365,xerocopiar,to photocopy 
366,deletrear,to spell 
367,oponer,to oppose 
368,cabalgar,to ride 
369,aprovechar,to use /  take advantage of 
370,golpear,to bang 
371,alcanzar,to reach 
372,beneficiar,to benefit 
373,cepillar,to brush 
374,gobernar,to govern 
375,morder,to bite/eat into 
376,abonar,to fertilize /  pay 
377,sembrar,to sow 
378,transferir,to transfer 
379,colocar,to place 
380,colocar,to place 
381,juzgar,to judge 
382,prohibir,to forbid 
383,detener,to arrest/stop/hold up/delay 
384,publicar,to publish 
385,malgastar,to waste 
386,madrugar,to get up early 
387,enamorar,to fall in love 
388,regalar,to give a present 
389,imaginar,to imagine 
390,mejorar,to improve 
391,padecer,to suffer 
392,fascinar,to fascinate 
393,adquirir,to aquire 
394,zampar,to gobble down 
395,abominar,to detest /  hate something 
396,jurar,to swear 
397,dudar,to doubt 
398,perseguir,to pursue 
399,maquillar,to put make up on 
400,bautizar,to baptise 
401,jubilar,to retire 
402,rechazar,to reject 
403,introducir,to introduce 
404,bienquerer,to like / be fond of 
405,imponer,to impose 
406,bastar,to be enough 
407,obligar,to force 
408,confiar,to confide 
409,temblar,to tremble 
410,pertenecer,to belong 
411,eliminar,to eliminate 
412,confesar,to confess 
413,percatar,to notice /  be aware of 
414,enfriar,to cool 
415,grabar,to record 
416,pelar,to peel 
417,identificar,to identify 
418,distinguir,to distinguish 
419,abaratar,to cheapen /  cut
420,molestar,to bother 
421,atravesar,to go through 
422,distribuir,to distribute 
423,machacar,to crush 
424,importar,to matter /  import 
425,fabricar,to manufacture/build/make 
426,atar,to tie 
427,observar,to observe 
428,bloquear,to block 
429,yuxtaponer,to juxtapose 
430,atrever,to dare 
431,decorar,to decorate 
432,bostezar,to yawn 
433,avanzar,to advance 
434,revolver,to stir 
435,comentar,to comment 
436,nombrar,to name 
437,fregar,to wash 
438,fallar,to fail 
439,relajar,to relax 
440,ubicar,to put in place 
441,abastar,to supply 
442,recalentar,to preheat /  warm up 
443,permanecer,to stay 
444,florecer,to flower 
445,zumbar,to buzz 
446,fichar,to clock in 
447,zarpar,to set sail 
448,maldecir,to curse 
449,lamentar,to regret 
450,alegrar,to make happy or glad 
451,agregar,to add 
452,carecer,to lack 
453,existir,to exist 
454,educar,to educate /  teach
455,caracterizar,to characterize 
456,fiar,to trust 
457,recetar,to prescribe 
458,embarcar,to embark /  board 
459,abjurar,to renounce /  abjure 
460,prometer,to promise 
461,ablandar,to soften 
462,patrullar,to patrol 
463,denegar,to refuse 
464,abarrotar,to fill sth to overflowing 
465,indagar,to investigate 
466,justificar,to justify 
467,pescar,to fish 
468,copiar,to copy 
469,añadir,to add 
470,equivocar,to be wrong 
471,blocar,to block 
472,abocetar,to sketch 
473,opinar,to think /  opine 
474,liar,to tieup/wrap/roll 
475,enojar,to make angry 
476,ofender,to offend 
477,becar,to give a grant to 
478,concluir,to conclude /  finish 
479,luchar,to fight 
480,aconsejar,to advise 
481,doblar,to fold 
482,finalizar,to end 
483,facturar,to check in 
484,combinar,to combine 
485,significar,to mean 
486,razonar,to reason 
487,calmar,to calm 
488,pender,to hang from something 
489,declarar,to declare 
490,vendar,to bandage 
491,robar,to rob 
492,reservar,to book 
493,capturar,to capture 
494,maltraer,to maltreat 
495,abollar,to dent 
496,narrar,to tell / narrate 
497,charlar,to chat 
498,favorecer,to favour 
499,convenir,to be suitable 
500,decrecer,to decrease/decline 
501,presentar,to introduce 
502,editar,to edit 
503,comunicar,to communicate 
504,manifestar,to show 
505,lesionar,to injure /  damage 
506,idealizar,to idealize 
507,ejercitar,to excercise / train 
508,investigar,to investigate 
509,componer,to be made up of 
510,ocultar,to hide 
511,felicitar,to congratulate 
512,flotar,to float 
513,durar,to last 
514,emigrar,to emigrate 
515,fastidiar,to annoy 
516,tapar,to cover 
517,criar,to breed 
518,portar,to carry
519,rezar,to pray 
520,vagar,to wander
521,variar,to vary 
522,edificar,to build 
523,anunciar,to advertise 
524,lograr,to get / achieve 
525,reaccionar,to react 
526,respetar,to respect 
527,tejer,to crochet
528,fatigar,to tire/weary 
529,listar,to list 
530,omitir,to omit 
531,botar,to bounce 
532,embellecer,to make beautiful 
533,subrayar,to underline 
534,envolver,to wrapup/wind 
535,deponer,to abandon
536,enseñar,to teach 
537,disminuir,to reduce/decrease 
538,calcular,to calculate 
539,aumentar,to increase 
540,seducir,to seduce 
541,castigar,to punish 
542,indicar,to show
543,negociar,to negotiate 
544,agarrar,to grab 
545,ignorar,to ignore 
546,emborrachar,to get drunk 
547,funcionar,to work
548,deprimir,to depress 
549,marear,to get sick 
550,unificar,to unite 
551,atacar,to attack 
552,limitar,to limit 
553,impresionar,to impress 
554,operar,to operate 
555,efectuar,to effect 
556,evitar,to prevent 
557,pellizcar,to pinch 
558,reciprocar,to reciprocate 
559,predecir,to predict 
560,sangrar,to bleed 
561,legalizar,to legalize 
562,balancear,to balance 
563,comprobar,to check 
564,granizar,to hail 
565,acertar,to get right 
566,interrumpir,to interrupt 
567,recaer,to relapse 
568,coser,to sew 
569,informar,to inform 
570,electrificar,to electrify 
571,abordar,to board 
572,blanquecer,to whiten 
573,contener,to contain/restrain/hold back 
574,calar,to stall a car / soak through 
575,elogiar,to praise 
576,eclosionar,to hatch
577,ejecutar,to execute 
578,dorar,to brown 
579,guisar,to cook 
580,apreciar,to appreciate
581,facilitar,to facilitate 
582,validar,to validate 
583,elevar,to raise 
584,financiar,to financiar 
585,reconstruir,to rebuild/reconstruct 
586,hundir,to sink 
587,degollar,to to cut the throat of 
588,elaborar,to produce
589,vanagloriar,to brag
590,reparar,to repair 
591,deshacer,to undo/unpack/destroy 
592,taladrar,to drill 
593,valorar,to value
594,deformar,to deform 
595,manchar,to get dirty /stain 
596,arrancar,to start up (engine) 
597,promover,to promote
598,tachar,to cross out 
599,seleccionar,to select 
600,tropezar,to stumble
601,malograr,to waste
602,votar,to vote 
603,extender,to stretch out 
604,suceder,to happen 
605,vadear,to ford
606,entretener,to keep oneself ammused 
607,aparcar,to park/shelf 
608,cazar,to hunt 
609,planchar,to iron 
610,revisar,to check 
611,guarnecer,to garnish
612,tolerar,to tolerate 
613,ahogar,to suffocate 
614,separar,to separate 
615,avergonzar,to make somebody feel ashamed 
616,idear,to think up 
617,tararear,to go la la la 
618,vedar,to ban 
619,reclamar,to demand / claim 
620,vaporizar,to vaporize 
621,imitar,to imitate 
622,admitir,to accept
623,generalizar,to spread/generalize 
624,asustar,to frighten /get scared 
625,consentir,to allow/permit 
626,falsificar,to forge 
627,iluminar,to light up 
628,pesar,to weigh 
629,incorporar,to include 
630,resultar,to turn out to be 
631,numerar,to number 
632,tragar,to swallow 
633,dividir,to divide 
634,varar,to run aground 
635,salpicar,to splash 
636,peligrar,to be at risk 
637,distraer,to amuse/entertain 
638,vacunar,to vaccinate 
639,rebajar,to reduce 
640,aborrecer,to loathe 
641,entrenar,to train 
642,uniformar,to standardise 
643,mojar,to get wet 
644,aplicar,to apply 
645,completar,to complete 
646,graznar,to croak 
647,vacilar,to hesitate 
648,malinterpretar,to misinterpret 
649,sustituir,to substitute 
650,generar,to generate 
651,emplear,to employ 
652,legislar,to legislate 
653,desarrollar,to develop 
654,perdonar,to forgive 
655,garantizar,to guarantee 
656,confundir,to make a mistake 
657,consumir,to consume 
658,tallar,to carve
659,estornudar,to sneeze 
660,enterar,to find out / understand 
661,acampar,to camp 
662,bisbisear,to whisper 
663,valorizar,to increase in value 
664,superar,to overcome
665,vallar,to fence 
666,analizar,to analyze 
667,orientar,to orientate 
668,conjugar,to conjugate 
669,litigar,to litigate 
670,escapar,to escape 
671,amanecer,to dawn 
672,prevenir,to prevent 
673,examinar,to examine 
674,cometer,to commit 
675,inaugurar,to inaugurate 
676,despegar,to take off 
677,pelotear,to kick a ball around 
678,maliciar,to suspect 
679,derruir,to demolish/knockdown 
680,abrigar,to keep warm 
681,ascender,to goup 
682,escalar,to climb 
683,envidiar,to envy 
684,convivir,to live together 
685,apretar,to press 
686,excluir,to exclude 
687,surgir,to arise 
688,inclinar,to tilt / lean 
689,incurrir,to incur 
690,aplaudir,to applaud 
691,alojar,to accommodate /put up 
692,recitar,to recite 
693,rendir,to surrender 
694,asegurar,to ensure 
695,cobrar,to charge 
696,afectar,to affect 
697,impulsar,to drive
698,empujar,to push 
699,encargar,to ask somebody to do something 
700,controlar,to control 
701,memorizar,to memorize 
702,platicar,to chat 
703,incendiar,to set fire to 
704,manar,to pour
705,formar,to form 
706,acudir,to come go attend 
707,bañar,to have a bath/go for a swim 
708,rescatar,to rescue 
709,emitir,to broadcast 
710,contraer,to contract/acquire/catch 
711,engordar,to put on weight 
712,criticar,to criticize / gossip 
713,abusar,to abuse 
714,descargar,to unload 
715,tablear,to pleat 
716,gandulear,to loaf around 
717,destacar,to point out 
718,inventar,to invent 
719,humillar,to humiliate 
720,admirar,to admire 
721,valsar,to waltz 
722,encerrar,to shut up/shut in 
723,salivar,to salivate 
724,explotar,to exploit / explode 
725,iniciar,to begin 
726,solicitar,to request
727,considerar,to consider 
728,acariciar,to caress
729,aplazar,to postpone 
730,sostener,to support 
731,contagiar,to transmit 
732,acoger,to welcome/takein/receive 
733,intuir,to sense 
734,acentuar,to stress/accent 
735,alimentar,to feed 
736,absolver,to absolve 
737,adorar,to adore
738,tostar,to toast 
739,agotar,to exhaust / run out 
740,malinformar,to misinform 
741,acostumbrar,to get used to 
742,aguantar,to put up with something
743,prevaler,to prevail 
744,contactar,to contact 
745,adivinar,to guess 
746,atribuir,to attribute 
747,animar,to cheer somebody up 
748,contaminar,to contaminate 
749,inscribir,to inscribe 
750,mascar,to chew 
751,mentar,to mention 
752,colaborar,to collaborate 
753,divorciar,to divorce 
754,agitar,to shake 
755,retirar,to retire / withdraw 
756,resfriar,to catch a cold 
757,prever,to foresee 
758,asir,to seize/grasp 
759,apellidar,to Verb say the surname 
760,broncear,to get a suntan 
761,derretir,to melt 
762,repartir,to distribute 
763,disponer,to haveavailable 
764,dimitir,to resign 
765,abrasar,to burn 
766,regatear,to haggle 
767,citar,to arrange to meet 
768,averiar,to break down 
769,autorizar,to authorize 
770,derramar,to spill 
771,abrochar,to do up 
772,alentar,to encourage 
773,refrescar,to refresh/chill 
774,pronunciar,to pronounce 
775,consistir,to consist of 
776,contradecir,to contradict 
777,alejar,to move away 
778,corresponder,to correspond 
779,espiar,to spyon 
780,consultar,to consult 
781,estresar,to stress 
782,revelar,to reveal 
783,reflexionar,to reflect 
784,forzar,to force 
785,alzar,to lift
786,respirar,to breathe 
787,deslizar,to slip 
788,batir,to beat
789,comparar,to compare 
790,posponer,to postpone 
791,aguar,to water down 
792,cultivar,to cultivate 
793,aterrorizar,to terrorize 
794,absorber,to absorb 
795,bullir,to boil 
796,combatir,to fight
797,anochecer,to get dark 
798,ajustar,to adjust 
799,curar,to cure 
800,estirar,to stretch 
801,abreviar,to abbreviate 
802,absorber,to absorb 
803,alumbrar,to light 
804,representar,to represent 
805,acusar,to accuse 
806,certificar,to confirm 
807,arruinar,to ruin 
808,ampliar,to extend 
809,almacenar,to store 
810,disculpar,to forgive / apologize 
811,torear,to fight a bull 
812,conservar,to conserve
813,descender,to go down 
814,ingresar,to pay in 
815,adornar,to adorn
816,desafiar,to challenge 
817,concebir,to conceive 
818,comercializar,to commercialize 
819,apostar,to bet 
820,contratar,to contract for 
821,aislar,to isolate 
822,chupar,to suck 
823,enfadar,to get angry 
824,adoptar,to adopt 
825,registrar,to register 
826,sobrar,to be too much 
827,esforzar,to strain 
828,agriar,to turn sour 
829,soltar,to letgoof 
830,pisar,to step on 
831,acelerar,to accelerate 
832,agravar,to make worse 
833,sofocar,to smother
834,exponer,to expose 
835,recuperar,to recover 
836,intervenir,to takepart/get involved 
837,acompañar,to go with / accompany 
838,explorar,to explore 
839,atropellar,to run over 
840,cascar,to crack 
841,trepar,to climb 
842,aclarar,to clarify 
843,arrestar,to arrest 
844,asesinar,to murder 
845,anular,to cancel 
846,rehacer,to doagain/rebuild 
847,arriesgar,to risk 
848,bromear,to joke 
849,evaluar,to assess 
850,atrapar,to trap 
851,adscribir,to assign 
852,arrendar,to rent out 
853,rodear,to surround 
854,suspender,to fail 
855,insultar,to insult 
856,suplicar,to plead 
857,repasar,to revise 
858,pudrir,to rot 
859,rehuir,to avoid 
860,clasificar,to clasify 
861,tronar,to thunder 
862,apuntar,to note down 
863,coludir,to collude 
864,aprehender,to apprehend 
865,agrupar,to group
866,lloviznar,to  
867,asentir,to agree
868,descomponer,to decompose 
869,brillar,to shine 
870,adelantar,to move forward
871,pulir,to polish 
872,situar,to place 
873,soplar,to blow 
874,involucrar,to involve 
875,experimentar,to experiment /experience 
876,provocar,to incite 
877,instalar,to install 
878,revivir,to revive / relive 
879,civilizar,to civilize 
880,fraguar,to forge 
881,recubrir,to cover 
882,transformar,to transform 
883,desnudar,to undress 
884,arder,to burn 
885,ensayar,to practise 
886,frenar,to brake 
887,circular,to run 
888,estrechar,to narrow 
889,aclamar,to acclaim
890,changar,to break down 
891,mimar,to spoil
892,saltear,to saute
893,localizar,to locate 
894,colar,to strain / sneak in 
895,escupir,to spit 
896,coincidir,to coincide 
897,roncar,to snore 
898,anteponer,to to put before 
899,remover,to stir 
900,brindar,to drink a toast to 
901,protestar,to complain 
902,apurar,to grieve
903,entrevistar,to interview 
904,acceder,to access
905,esparcir,to scatter 
906,burlar,to make fun of 
907,apartar,to separate
908,conquistar,to conquer 
909,reproducir,to reproduce 
910,transmitir,to transmit / broadcast 
911,afirmar,to affirm 
912,progresar,to progress 
913,ahorcar,to hang 
914,derrocar,to overthrow
915,rellenar,to fill 
916,aliviar,to lighten
917,aplastar,to crush
918,presuponer,to assume 
919,expulsar,to expel 
920,agachar,to lower 
921,asombrar,to be amazed 
922,empatar,to draw
923,coquetear,to flirt 
924,invadir,to invade 
925,derrotar,to beat 
926,envejecer,to get old 
927,archivar,to file 
928,arrugar,to wrinkle 
929,proceder,to proceed 
930,fracasar,to fail 
931,arrojar,to fling
932,chantajear,to blackmail 
933,programar,to plan 
934,amordazar,to gag/muzzle 
935,alabar,to praise 
936,encubrir,to cover 
937,convocar,to convoke 
938,conceder,to concede
939,triunfar,to succeed / win 
940,extraviar,to to get lost / to go missing 
941,suprimir,to leave something out 
942,trasladar,to move 
943,contabilizar,to enter in the accounts 
944,chillar,to shout 
945,soportar,to stand 
946,tranquilizar,to calm somebody down 
947,comportar,to behave 
948,volcar,to spill
949,devenir,to become/turn into 
950,ensuciar,to get dirty 
951,cotizar,to quote/price 
952,sobrevolar,to overfly
953,podar,to prune 
954,clarificar,to clarify 
955,digerir,to digest/assimilate 
956,aunar,to unite
957,apaciguar,to calm down 
958,fotografiar,to take a photograph of 
959,serrar,to saw 
960,auditar,to audit 
961,transbordar,to change trains 
962,plantar,to plant 
963,solucionar,to solve 
964,fruncir,to frown 
965,serpentear,to meander
966,alternar,to alternate
967,alarmar,to alarm 
968,derivar,to derive 
969,ansiar,to long for
970,disfrazar,to dress up 
971,persistir,to persist 
972,resbalar,to slip 
973,excitar,to excite 
974,vomitar,to vomit 
975,concordar,to agree/reconcile 
976,exclamar,to exclaim 
977,agujerear,to pierce
978,cojear,to limp 
979,insinuar,to insinuate 
980,suscribir,to subscribe 
981,culturizar,to educate 
982,adaptar,to adapt 
983,propolar,to divulge 
984,anotar,to take down
985,acumular,to accumulate 
986,desvestir,to undress 
987,enchufar,to plug 
988,regentar,to run a business 
989,diluir,to dilute 
990,retorcer,to twist 
991,clavar,to hammer
992,cegar,to blind
993,disparar,to shoot 
994,exportar,to export 
995,persuadir,to persuade 
996,detestar,to detest 
997,confluir,to converge/meet 
998,aguardar,to expect
999,complicar,to complicate 
1000,renovar,to renovate 
1001,confirmar,to confirm 
1002,arrastrar,to drag 
1003,matricular,to enrol 
1004,expedir,to send/dispatch/issue 
1005,emocionar,to be moved by 
1006,expresar,to express 
1007,presidir,to preside 
1008,aflojar,to loosen 
1009,apilar,to pile up 
1010,sumar,to add 
1011,percibir,to perceive 
1012,asemejar,to be alike 
1013,agrandar,to enlarge 
1014,desviar,to divert 
1015,resistir,to withstand 
1016,tramitar,to process 
1017,reponer,to replace 
1018,disgustar,to get upset 
1019,estropear,to spoil
1020,fortalecer,to strengthen 
1021,accionar,to operate
1022,estrenar,to do for the first time 
1023,desordenar,to make untidy
1024,vigilar,to keep an eye on something or somebody 
1025,formalizar,to formalize 
1026,disputar,to dispute 
1027,modificar,to modify 
1028,atestiguar,to testify to 
1029,disolver,to dissolve/breakup 
1030,perpetuar,to perpetuate 
1031,desobedecer,to disobey 
1032,aparentar,to pretend 
1033,empaquetar,to package 
1034,administrar,to administer 
1035,despreciar,to despise 
1036,rozar,to rub/brush/graze 
1037,excusar,to excuse 
1038,arropar,to cover 
1039,cooperar,to cooperate 
1040,extraer,to extract 
1041,etiquetar,to label 
1042,centrifugar,to spin
1043,contemplar,to contemplate 
1044,pinchar,to pick 
1045,amarrar,to tie
1046,transcurrir,to pass time 
1047,disuadir,to dissuade 
1048,compeler,to compel 
1049,cavar,to dig 
1050,aceitar,to oil 
1051,extenuar,to exhaust/drain 
1052,aficionar,to be keen on 
1053,esculpir,to sculpt 
1054,resumir,to summarize 
1055,amueblar,to furnish 
1056,asociar,to associate 
1057,tamizar,to sieve
1058,achicharrar,to burn /frazzle 
1059,alargar,to extend 
1060,abundar,to abound 
1061,multiplicar,to multiply 
1062,concentrar,to concentrate 
1063,trabar,to hold shut
1064,exhibir,to exhibit 
1065,acrisolar,to refine
1066,prescribir,to prescribe 
1067,amontonar,to pile something up
1068,circunscribir,to circumscribe 
1069,cualificar,to qualify 
1070,dictar,to dictate 
1071,diferenciar,to differenciate 
1072,susurrar,to whisper 
1073,castrar,to castrate 
1074,relacionar,to relate 
1075,censar,to take a census of 
1076,agobiar,to overwhelm /get too much for 
1077,sesgar,to slant
1078,reventar,to burst 
1079,destrozar,to destroy 
1080,asear,to clean
1081,pervertir,to corrupt 
1082,acuchillar,to knife
1083,curiosear,to glance at 
1084,trastear,to rummage through 
1085,propagar,to propogate 
1086,emprender,to undertake 
1087,infectar,to infect 
1088,pronosticar,to forecast 
1089,encoger,to shrink 
1090,asimilar,to assimilate 
1091,tumbar,to lie down 
1092,boxear,to box 
1093,apestar,to corrupt
1094,desplazar,to move around 
1095,transcribir,to transcribe 
1096,atrasar,to slow down 
1097,alborotar,to mess 
1098,retrasar,to delay 
1099,retribuir,to pay back 
1100,reelegir,to reelect 
1101,descentralizar,to decentralise 
1102,sobornar,to bribe 
1103,descontar,to deduct 
1104,designar,to designate 
1105,alterar,to alter 
1106,desconectar,to disconnect / switch off 
1107,exceder,to exceed 
1108,desvariar,to be delirious/talk nonsense 
1109,alertar,to alert 
1110,sujetar,to hold 
1111,punzar,to prick/stab 
1112,asesorar,to advise 
1113,estremecer,to shudder 
1114,presumir,to presume 
1115,descuidar,to neglect 
1116,profetizar,to prophesy 
