,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
83,acostaré,acostarás,acostará,acostaremos,acostaréis,acostarán
84,levantaré,levantarás,levantará,levantaremos,levantaréis,levantarán
85,moveré,moverás,moverá,moveremos,moveréis,moverán
86,cantaré,cantarás,cantará,cantaremos,cantaréis,cantarán
87,ayudaré,ayudarás,ayudará,ayudaremos,ayudaréis,ayudarán
88,contaré,contarás,contará,contaremos,contaréis,contarán
89,venderé,venderás,venderá,venderemos,venderéis,venderán
90,herviré,hervirás,hervirá,herviremos,herviréis,hervirán
91,ganaré,ganarás,ganará,ganaremos,ganaréis,ganarán
92,viajaré,viajarás,viajará,viajaremos,viajaréis,viajarán
93,escucharé,escucharás,escuchará,escucharemos,escucharéis,escucharán
94,cogeré,cogerás,cogerá,cogeremos,cogeréis,cogerán
95,necesitaré,necesitarás,necesitará,necesitaremos,necesitaréis,necesitarán
96,despertaré,despertarás,despertará,despertaremos,despertaréis,despertarán
97,recordaré,recordarás,recordará,recordaremos,recordaréis,recordarán
98,desearé,desearás,deseará,desearemos,desearéis,desearán
99,huiré,huirás,huirá,huiremos,huiréis,huirán
100,decidiré,decidirás,decidirá,decidiremos,decidiréis,decidirán
101,lavaré,lavarás,lavará,lavaremos,lavaréis,lavarán
102,subiré,subirás,subirá,subiremos,subiréis,subirán
103,pareceré,parecerás,parecerá,pareceremos,pareceréis,parecerán
104,practicaré,practicarás,practicará,practicaremos,practicaréis,practicarán
105,nadaré,nadarás,nadará,nadaremos,nadaréis,nadarán
106,despediré,despedirás,despedirá,despediremos,despediréis,despedirán
107,traduciré,traducirás,traducirá,traduciremos,traduciréis,traducirán
108,sonreiré,sonreirás,sonreirá,sonreiremos,sonreiréis,sonreirán
109,mentiré,mentirás,mentirá,mentiremos,mentiréis,mentirán
110,heriré,herirás,herirá,heriremos,heriréis,herirán
111,usaré,usarás,usará,usaremos,usaréis,usarán
112,casaré,casarás,casará,casaremos,casaréis,casarán
113,sugeriré,sugerirás,sugerirá,sugeriremos,sugeriréis,sugerirán
114,desayunaré,desayunarás,desayunará,desayunaremos,desayunaréis,desayunarán
115,ofreceré,ofrecerás,ofrecerá,ofreceremos,ofreceréis,ofrecerán
116,romperé,romperás,romperá,romperemos,romperéis,romperán
117,hackearé,hackearás,hackeará,hackearemos,hackearéis,hackearán
118,devolveré,devolverás,devolverá,devolveremos,devolveréis,devolverán
119,cubriré,cubrirás,cubrirá,cubriremos,cubriréis,cubrirán
120,oleré,olerás,olerá,oleremos,oleréis,olerán
121,mantendré,mantendrás,mantendrá,mantendremos,mantendréis,mantendrán
122,mandaré,mandarás,mandará,mandaremos,mandaréis,mandarán
123,construiré,construirás,construirá,construiremos,construiréis,construirán
124,naceré,nacerás,nacerá,naceremos,naceréis,nacerán
125,comprenderé,comprenderás,comprenderá,comprenderemos,comprenderéis,comprenderán
126,permitiré,permitirás,permitirá,permitiremos,permitiréis,permitirán
127,olvidaré,olvidarás,olvidará,olvidaremos,olvidaréis,olvidarán
128,abanderaré,abanderarás,abanderará,abanderaremos,abanderaréis,abanderarán
129,recomendaré,recomendarás,recomendará,recomendaremos,recomendaréis,recomendarán
130,asistiré,asistirás,asistirá,asistiremos,asistiréis,asistirán
131,costaré,costarás,costará,costaremos,costaréis,costarán
132,enviaré,enviarás,enviará,enviaremos,enviaréis,enviarán
133,prepararé,prepararás,preparará,prepararemos,prepararéis,prepararán
134,cocinaré,cocinarás,cocinará,cocinaremos,cocinaréis,cocinarán
135,compartiré,compartirás,compartirá,compartiremos,compartiréis,compartirán
136,preguntaré,preguntarás,preguntará,preguntaremos,preguntaréis,preguntarán
137,cuidaré,cuidarás,cuidará,cuidaremos,cuidaréis,cuidarán
138,resolveré,resolverás,resolverá,resolveremos,resolveréis,resolverán
139,callaré,callarás,callará,callaremos,callaréis,callarán
140,recogeré,recogerás,recogerá,recogeremos,recogeréis,recogerán
141,mostraré,mostrarás,mostrará,mostraremos,mostraréis,mostrarán
142,helaré,helarás,helará,helaremos,helaréis,helarán
143,rogaré,rogarás,rogará,rogaremos,rogaréis,rogarán
144,creceré,crecerás,crecerá,creceremos,creceréis,crecerán
145,henchiré,henchirás,henchirá,henchiremos,henchiréis,henchirán
146,habituaré,habituarás,habituará,habituaremos,habituaréis,habituarán
147,amaré,amarás,amará,amaremos,amaréis,amarán
148,sonaré,sonarás,sonará,sonaremos,sonaréis,sonarán
149,escogeré,escogerás,escogerá,escogeremos,escogeréis,escogerán
150,doleré,dolerás,dolerá,doleremos,doleréis,dolerán
151,exigiré,exigirás,exigirá,exigiremos,exigiréis,exigirán
152,entraré,entrarás,entrará,entraremos,entraréis,entrarán
153,volaré,volarás,volará,volaremos,volaréis,volarán
154,explicaré,explicarás,explicará,explicaremos,explicaréis,explicarán
155,destruiré,destruirás,destruirá,destruiremos,destruiréis,destruirán
156,navegaré,navegarás,navegará,navegaremos,navegaréis,navegarán
157,lloraré,llorarás,llorará,lloraremos,lloraréis,llorarán
158,valdré,valdrás,valdrá,valdremos,valdréis,valdrán
159,apagaré,apagarás,apagará,apagaremos,apagaréis,apagarán
160,probaré,probarás,probará,probaremos,probaréis,probarán
161,halagaré,halagarás,halagará,halagaremos,halagaréis,halagarán
162,manejaré,manejarás,manejará,manejaremos,manejaréis,manejarán
163,cortaré,cortarás,cortará,cortaremos,cortaréis,cortarán
164,obtendré,obtendrás,obtendrá,obtendremos,obtendréis,obtendrán
165,gozaré,gozarás,gozará,gozaremos,gozaréis,gozarán
166,hartaré,hartarás,hartará,hartaremos,hartaréis,hartarán
167,sufriré,sufrirás,sufrirá,sufriremos,sufriréis,sufrirán
168,incluiré,incluirás,incluirá,incluiremos,incluiréis,incluirán
169,habilitaré,habilitarás,habilitará,habilitaremos,habilitaréis,habilitarán
170,aburriré,aburrirás,aburrirá,aburriremos,aburriréis,aburrirán
171,habitaré,habitarás,habitará,habitaremos,habitaréis,habitarán
172,echaré,echarás,echará,echaremos,echaréis,echarán
173,regresaré,regresarás,regresará,regresaremos,regresaréis,regresarán
174,corregiré,corregirás,corregirá,corregiremos,corregiréis,corregirán
175,prestaré,prestarás,prestará,prestaremos,prestaréis,prestarán
176,barreré,barrerás,barrerá,barreremos,barreréis,barrerán
177,hacendaré,hacendarás,hacendará,hacendaremos,hacendaréis,hacendarán
178,secaré,secarás,secará,secaremos,secaréis,secarán
179,cruzaré,cruzarás,cruzará,cruzaremos,cruzaréis,cruzarán
180,hincharé,hincharás,hinchará,hincharemos,hincharéis,hincharán
181,hostigaré,hostigarás,hostigará,hostigaremos,hostigaréis,hostigarán
182,empacaré,empacarás,empacará,empacaremos,empacaréis,empacarán
183,hospedaré,hospedarás,hospedará,hospedaremos,hospedaréis,hospedarán
184,cenaré,cenarás,cenará,cenaremos,cenaréis,cenarán
185,defenderé,defenderás,defenderá,defenderemos,defenderéis,defenderán
186,entregaré,entregarás,entregará,entregaremos,entregaréis,entregarán
187,sumergiré,sumergirás,sumergirá,sumergiremos,sumergiréis,sumergirán
188,produciré,producirás,producirá,produciremos,produciréis,producirán
189,acabaré,acabarás,acabará,acabaremos,acabaréis,acabarán
190,organizaré,organizarás,organizará,organizaremos,organizaréis,organizarán
191,bajaré,bajarás,bajará,bajaremos,bajaréis,bajarán
192,soleré,solerás,solerá,soleremos,soleréis,solerán
193,patinaré,patinarás,patinará,patinaremos,patinaréis,patinarán
194,colgaré,colgarás,colgará,colgaremos,colgaréis,colgarán
195,calentaré,calentarás,calentará,calentaremos,calentaréis,calentarán
196,hipnotizaré,hipnotizarás,hipnotizará,hipnotizaremos,hipnotizaréis,hipnotizarán
197,peinaré,peinarás,peinará,peinaremos,peinaréis,peinarán
198,tenderé,tenderás,tenderá,tenderemos,tenderéis,tenderán
199,contestaré,contestarás,contestará,contestaremos,contestaréis,contestarán
200,encenderé,encenderás,encenderá,encenderemos,encenderéis,encenderán
201,participaré,participarás,participará,participaremos,participaréis,participarán
202,hacinaré,hacinarás,hacinará,hacinaremos,hacinaréis,hacinarán
203,quitaré,quitarás,quitará,quitaremos,quitaréis,quitarán
204,heredaré,heredarás,heredará,heredaremos,heredaréis,heredarán
205,crearé,crearás,creará,crearemos,crearéis,crearán
206,discutiré,discutirás,discutirá,discutiremos,discutiréis,discutirán
207,aceptaré,aceptarás,aceptará,aceptaremos,aceptaréis,aceptarán
208,descubriré,descubrirás,descubrirá,descubriremos,descubriréis,descubrirán
209,gastaré,gastarás,gastará,gastaremos,gastaréis,gastarán
210,dirigiré,dirigirás,dirigirá,dirigiremos,dirigiréis,dirigirán
211,abrazaré,abrazarás,abrazará,abrazaremos,abrazaréis,abrazarán
212,yaceré,yacerás,yacerá,yaceremos,yaceréis,yacerán
213,pararé,pararás,parará,pararemos,pararéis,pararán
214,obedeceré,obedecerás,obedecerá,obedeceremos,obedeceréis,obedecerán
215,disfrutaré,disfrutarás,disfrutará,disfrutaremos,disfrutaréis,disfrutarán
216,negaré,negarás,negará,negaremos,negaréis,negarán
217,interesaré,interesarás,interesará,interesaremos,interesaréis,interesarán
218,trataré,tratarás,tratará,trataremos,trataréis,tratarán
219,protegeré,protegerás,protegerá,protegeremos,protegeréis,protegerán
220,cumpliré,cumplirás,cumplirá,cumpliremos,cumpliréis,cumplirán
221,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán
222,mediré,medirás,medirá,mediremos,mediréis,medirán
223,nevaré,nevarás,nevará,nevaremos,nevaréis,nevarán
224,cansaré,cansarás,cansará,cansaremos,cansaréis,cansarán
225,sacudiré,sacudirás,sacudirá,sacudiremos,sacudiréis,sacudirán
226,invertiré,invertirás,invertirá,invertiremos,invertiréis,invertirán
227,me arrepentiré,te arrepentirás,se arrepentirá,nos arrepentiremos,os arrepentiréis,se arrepentirán
228,fijaré,fijarás,fijará,fijaremos,fijaréis,fijarán
229,ducharé,ducharás,duchará,ducharemos,ducharéis,ducharán
230,encantaré,encantarás,encantará,encantaremos,encantaréis,encantarán
231,firmaré,firmarás,firmará,firmaremos,firmaréis,firmarán
232,sofreiré,sofreirás,sofreirá,sofreiremos,sofreiréis,sofreirán
233,besaré,besarás,besará,besaremos,besaréis,besarán
234,contribuiré,contribuirás,contribuirá,contribuiremos,contribuiréis,contribuirán
235,mezclaré,mezclarás,mezclará,mezclaremos,mezclaréis,mezclarán
236,llenaré,llenarás,llenará,llenaremos,llenaréis,llenarán
237,regaré,regarás,regará,regaremos,regaréis,regarán
238,bendeciré,bendecirás,bendecirá,bendeciremos,bendeciréis,bendecirán
239,acordaré,acordarás,acordará,acordaremos,acordaréis,acordarán
240,utilizaré,utilizarás,utilizará,utilizaremos,utilizaréis,utilizarán
241,reciclaré,reciclarás,reciclará,reciclaremos,reciclaréis,reciclarán
242,ahorraré,ahorrarás,ahorrará,ahorraremos,ahorraréis,ahorrarán
243,responderé,responderás,responderá,responderemos,responderéis,responderán
244,pasearé,pasearás,paseará,pasearemos,pasearéis,pasearán
245,poseeré,poseerás,poseerá,poseeremos,poseeréis,poseerán
246,influiré,influirás,influirá,influiremos,influiréis,influirán
247,malentenderé,malentenderás,malentenderá,malentenderemos,malentenderéis,malentenderán
248,continuaré,continuarás,continuará,continuaremos,continuaréis,continuarán
249,juntaré,juntarás,juntará,juntaremos,juntaréis,juntarán
250,vacaré,vacarás,vacará,vacaremos,vacaréis,vacarán
251,montaré,montarás,montará,montaremos,montaréis,montarán
252,torceré,torcerás,torcerá,torceremos,torceréis,torcerán
253,intentaré,intentarás,intentará,intentaremos,intentaréis,intentarán
254,supondré,supondrás,supondrá,supondremos,supondréis,supondrán
255,graduaré,graduarás,graduará,graduaremos,graduaréis,graduarán
256,merendaré,merendarás,merendará,merendaremos,merendaréis,merendarán
257,venceré,vencerás,vencerá,venceremos,venceréis,vencerán
258,partiré,partirás,partirá,partiremos,partiréis,partirán
259,descansaré,descansarás,descansará,descansaremos,descansaréis,descansarán
260,atraeré,atraerás,atraerá,atraeremos,atraeréis,atraerán
261,estableceré,establecerás,establecerá,estableceremos,estableceréis,establecerán
262,invitaré,invitarás,invitará,invitaremos,invitaréis,invitarán
263,verteré,verterás,verterá,verteremos,verteréis,verterán
264,ocurriré,ocurrirás,ocurrirá,ocurriremos,ocurriréis,ocurrirán
265,imprimiré,imprimirás,imprimirá,imprimiremos,imprimiréis,imprimirán
266,bucearé,bucearás,buceará,bucearemos,bucearéis,bucearán
267,zafaré,zafarás,zafará,zafaremos,zafaréis,zafarán
268,abanicaré,abanicarás,abanicará,abanicaremos,abanicaréis,abanicarán
269,reconoceré,reconocerás,reconocerá,reconoceremos,reconoceréis,reconocerán
270,gritaré,gritarás,gritará,gritaremos,gritaréis,gritarán
271,convenceré,convencerás,convencerá,convenceremos,convenceréis,convencerán
272,temeré,temerás,temerá,temeremos,temeréis,temerán
273,satisfaré,satisfarás,satisfará,satisfaremos,satisfaréis,satisfarán
274,mataré,matarás,matará,mataremos,mataréis,matarán
275,advertiré,advertirás,advertirá,advertiremos,advertiréis,advertirán
276,abogaré,abogarás,abogará,abogaremos,abogaréis,abogarán
277,insistiré,insistirás,insistirá,insistiremos,insistiréis,insistirán
278,apeteceré,apetecerás,apetecerá,apeteceremos,apeteceréis,apetecerán
279,faltaré,faltarás,faltará,faltaremos,faltaréis,faltarán
280,giraré,girarás,girará,giraremos,giraréis,girarán
281,preocuparé,preocuparás,preocupará,preocuparemos,preocuparéis,preocuparán
282,arreglaré,arreglarás,arreglará,arreglaremos,arreglaréis,arreglarán
283,adelgazaré,adelgazarás,adelgazará,adelgazaremos,adelgazaréis,adelgazarán
284,meteré,meterás,meterá,meteremos,meteréis,meterán
285,saludaré,saludarás,saludará,saludaremos,saludaréis,saludarán
286,fingiré,fingirás,fingirá,fingiremos,fingiréis,fingirán
287,pelearé,pelearás,peleará,pelearemos,pelearéis,pelearán
288,picaré,picarás,picará,picaremos,picaréis,picarán
289,tiraré,tirarás,tirará,tiraremos,tiraréis,tirarán
290,cagaré,cagarás,cagará,cagaremos,cagaréis,cagarán
291,vaciaré,vaciarás,vaciará,vaciaremos,vaciaréis,vaciarán
292,dedicaré,dedicarás,dedicará,dedicaremos,dedicaréis,dedicarán
293,mudaré,mudarás,mudará,mudaremos,mudaréis,mudarán
294,sorprenderé,sorprenderás,sorprenderá,sorprenderemos,sorprenderéis,sorprenderán
295,abatiré,abatirás,abatirá,abatiremos,abatiréis,abatirán
296,uniré,unirás,unirá,uniremos,uniréis,unirán
297,saltaré,saltarás,saltará,saltaremos,saltaréis,saltarán
298,quemaré,quemarás,quemará,quemaremos,quemaréis,quemarán
299,recomenzaré,recomenzarás,recomenzará,recomenzaremos,recomenzaréis,recomenzarán
300,odiaré,odiarás,odiará,odiaremos,odiaréis,odiarán
301,actuaré,actuarás,actuará,actuaremos,actuaréis,actuarán
302,apareceré,aparecerás,aparecerá,apareceremos,apareceréis,aparecerán
303,salvaré,salvarás,salvará,salvaremos,salvaréis,salvarán
304,agradeceré,agradecerás,agradecerá,agradeceremos,agradeceréis,agradecerán
305,dibujaré,dibujarás,dibujará,dibujaremos,dibujaréis,dibujarán
306,guardaré,guardarás,guardará,guardaremos,guardaréis,guardarán
307,impediré,impedirás,impedirá,impediremos,impediréis,impedirán
308,aprobaré,aprobarás,aprobará,aprobaremos,aprobaréis,aprobarán
309,fumaré,fumarás,fumará,fumaremos,fumaréis,fumarán
310,celebraré,celebrarás,celebrará,celebraremos,celebraréis,celebrarán
311,recorreré,recorrerás,recorrerá,recorreremos,recorreréis,recorrerán
312,reuniré,reunirás,reunirá,reuniremos,reuniréis,reunirán
313,quebraré,quebrarás,quebrará,quebraremos,quebraréis,quebrarán
314,reduciré,reducirás,reducirá,reduciremos,reduciréis,reducirán
315,tardaré,tardarás,tardará,tardaremos,tardaréis,tardarán
316,mereceré,merecerás,merecerá,mereceremos,mereceréis,merecerán
317,realizaré,realizarás,realizará,realizaremos,realizaréis,realizarán
318,marcharé,marcharás,marchará,marcharemos,marcharéis,marcharán
319,ejerceré,ejercerás,ejercerá,ejerceremos,ejerceréis,ejercerán
320,cuestionaré,cuestionarás,cuestionará,cuestionaremos,cuestionaréis,cuestionarán
321,competiré,competirás,competirá,competiremos,competiréis,competirán
322,chocaré,chocarás,chocará,chocaremos,chocaréis,chocarán
323,ordenaré,ordenarás,ordenará,ordenaremos,ordenaréis,ordenarán
324,marcaré,marcarás,marcará,marcaremos,marcaréis,marcarán
325,averiguaré,averiguarás,averiguará,averiguaremos,averiguaréis,averiguarán
326,demostraré,demostrarás,demostrará,demostraremos,demostraréis,demostrarán
327,cancelaré,cancelarás,cancelará,cancelaremos,cancelaréis,cancelarán
328,convertiré,convertirás,convertirá,convertiremos,convertiréis,convertirán
329,lanzaré,lanzarás,lanzará,lanzaremos,lanzaréis,lanzarán
330,acercaré,acercarás,acercará,acercaremos,acercaréis,acercarán
331,pintaré,pintarás,pintará,pintaremos,pintaréis,pintarán
332,afeitaré,afeitarás,afeitará,afeitaremos,afeitaréis,afeitarán
333,esconderé,esconderás,esconderá,esconderemos,esconderéis,esconderán
334,pegaré,pegarás,pegará,pegaremos,pegaréis,pegarán
335,enfocaré,enfocarás,enfocará,enfocaremos,enfocaréis,enfocarán
336,aboliré,abolirás,abolirá,aboliremos,aboliréis,abolirán
337,colegiré,colegirás,colegirá,colegiremos,colegiréis,colegirán
338,gemiré,gemirás,gemirá,gemiremos,gemiréis,gemirán
339,abstendré,abstendrás,abstendrá,abstendremos,abstendréis,abstendrán
340,alquilaré,alquilarás,alquilará,alquilaremos,alquilaréis,alquilarán
341,kilometraré,kilometrarás,kilometrará,kilometraremos,kilometraréis,kilometrarán
342,apoyaré,apoyarás,apoyará,apoyaremos,apoyaréis,apoyarán
343,esquiaré,esquiarás,esquiará,esquiaremos,esquiaréis,esquiarán
344,amenazaré,amenazarás,amenazará,amenazaremos,amenazaréis,amenazarán
345,avisaré,avisarás,avisará,avisaremos,avisaréis,avisarán
346,planearé,planearás,planeará,planearemos,planearéis,planearán
347,abocaré,abocarás,abocará,abocaremos,abocaréis,abocarán
348,desapareceré,desaparecerás,desaparecerá,desapareceremos,desapareceréis,desaparecerán
349,cargaré,cargarás,cargará,cargaremos,cargaréis,cargarán
350,abarcaré,abarcarás,abarcará,abarcaremos,abarcaréis,abarcarán
351,abofetearé,abofetearás,abofeteará,abofetearemos,abofetearéis,abofetearán
352,borraré,borrarás,borrará,borraremos,borraréis,borrarán
353,atenderé,atenderás,atenderá,atenderemos,atenderéis,atenderán
354,abdicaré,abdicarás,abdicará,abdicaremos,abdicaréis,abdicarán
355,ocuparé,ocuparás,ocupará,ocuparemos,ocuparéis,ocuparán
356,guiaré,guiarás,guiará,guiaremos,guiaréis,guiarán
357,propondré,propondrás,propondrá,propondremos,propondréis,propondrán
358,abasteceré,abastecerás,abastecerá,abasteceremos,abasteceréis,abastecerán
359,toseré,toserás,toserá,toseremos,toseréis,toserán
360,aterrizaré,aterrizarás,aterrizará,aterrizaremos,aterrizaréis,aterrizarán
361,definiré,definirás,definirá,definiremos,definiréis,definirán
362,calificaré,calificarás,calificará,calificaremos,calificaréis,calificarán
363,describiré,describirás,describirá,describiremos,describiréis,describirán
364,dependeré,dependerás,dependerá,dependeremos,dependeréis,dependerán
365,xerocopiaré,xerocopiarás,xerocopiará,xerocopiaremos,xerocopiaréis,xerocopiarán
366,deletrearé,deletrearás,deletreará,deletrearemos,deletrearéis,deletrearán
367,opondré,opondrás,opondrá,opondremos,opondréis,opondrán
368,cabalgaré,cabalgarás,cabalgará,cabalgaremos,cabalgaréis,cabalgarán
369,aprovecharé,aprovecharás,aprovechará,aprovecharemos,aprovecharéis,aprovecharán
370,golpearé,golpearás,golpeará,golpearemos,golpearéis,golpearán
371,alcanzaré,alcanzarás,alcanzará,alcanzaremos,alcanzaréis,alcanzarán
372,beneficiaré,beneficiarás,beneficiará,beneficiaremos,beneficiaréis,beneficiarán
373,cepillaré,cepillarás,cepillará,cepillaremos,cepillaréis,cepillarán
374,gobernaré,gobernarás,gobernará,gobernaremos,gobernaréis,gobernarán
375,morderé,morderás,morderá,morderemos,morderéis,morderán
376,abonaré,abonarás,abonará,abonaremos,abonaréis,abonarán
377,sembraré,sembrarás,sembrará,sembraremos,sembraréis,sembrarán
378,transferiré,transferirás,transferirá,transferiremos,transferiréis,transferirán
379,colocaré,colocarás,colocará,colocaremos,colocaréis,colocarán
380,colocaré,colocarás,colocará,colocaremos,colocaréis,colocarán
381,juzgaré,juzgarás,juzgará,juzgaremos,juzgaréis,juzgarán
382,prohibiré,prohibirás,prohibirá,prohibiremos,prohibiréis,prohibirán
383,detendré,detendrás,detendrá,detendremos,detendréis,detendrán
384,publicaré,publicarás,publicará,publicaremos,publicaréis,publicarán
385,malgastaré,malgastarás,malgastará,malgastaremos,malgastaréis,malgastarán
386,madrugaré,madrugarás,madrugará,madrugaremos,madrugaréis,madrugarán
387,enamoraré,enamorarás,enamorará,enamoraremos,enamoraréis,enamorarán
388,regalaré,regalarás,regalará,regalaremos,regalaréis,regalarán
389,imaginaré,imaginarás,imaginará,imaginaremos,imaginaréis,imaginarán
390,mejoraré,mejorarás,mejorará,mejoraremos,mejoraréis,mejorarán
391,padeceré,padecerás,padecerá,padeceremos,padeceréis,padecerán
392,fascinaré,fascinarás,fascinará,fascinaremos,fascinaréis,fascinarán
393,adquiriré,adquirirás,adquirirá,adquiriremos,adquiriréis,adquirirán
394,zamparé,zamparás,zampará,zamparemos,zamparéis,zamparán
395,abominaré,abominarás,abominará,abominaremos,abominaréis,abominarán
396,juraré,jurarás,jurará,juraremos,juraréis,jurarán
397,dudaré,dudarás,dudará,dudaremos,dudaréis,dudarán
398,perseguiré,perseguirás,perseguirá,perseguiremos,perseguiréis,perseguirán
399,maquillaré,maquillarás,maquillará,maquillaremos,maquillaréis,maquillarán
400,bautizaré,bautizarás,bautizará,bautizaremos,bautizaréis,bautizarán
401,jubilaré,jubilarás,jubilará,jubilaremos,jubilaréis,jubilarán
402,rechazaré,rechazarás,rechazará,rechazaremos,rechazaréis,rechazarán
403,introduciré,introducirás,introducirá,introduciremos,introduciréis,introducirán
404,bienquerré,bienquerrás,bienquerrá,bienquerremos,bienquerréis,bienquerrán
405,impondré,impondrás,impondrá,impondremos,impondréis,impondrán
406,bastaré,bastarás,bastará,bastaremos,bastaréis,bastarán
407,obligaré,obligarás,obligará,obligaremos,obligaréis,obligarán
408,confiaré,confiarás,confiará,confiaremos,confiaréis,confiarán
409,temblaré,temblarás,temblará,temblaremos,temblaréis,temblarán
