,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
96,despertare,despertares,despertare,despertáremos,despertareis,despertaren
97,recordare,recordares,recordare,recordáremos,recordareis,recordaren
98,deseare,deseares,deseare,deseáremos,deseareis,desearen
99,huyere,huyeres,huyere,huyéremos,huyereis,huyeren
100,decidiere,decidieres,decidiere,decidiéremos,decidiereis,decidieren
101,lavare,lavares,lavare,laváremos,lavareis,lavaren
102,subiere,subieres,subiere,subiéremos,subiereis,subieren
103,pareciere,parecieres,pareciere,pareciéremos,pareciereis,parecieren
104,practicare,practicares,practicare,practicáremos,practicareis,practicaren
105,nadare,nadares,nadare,nadáremos,nadareis,nadaren
106,despidiere,despidieres,despidiere,despidiéremos,despidiereis,despidieren
107,tradujere,tradujeres,tradujere,tradujéremos,tradujereis,tradujeren
108,sonriere,sonrieres,sonriere,sonriéremos,sonriereis,sonrieren
109,mintiere,mintieres,mintiere,mintiéremos,mintiereis,mintieren
110,hiriere,hirieres,hiriere,hiriéremos,hiriereis,hirieren
111,usare,usares,usare,usáremos,usareis,usaren
112,casare,casares,casare,casáremos,casareis,casaren
113,sugiriere,sugirieres,sugiriere,sugiriéremos,sugiriereis,sugirieren
114,desayunare,desayunares,desayunare,desayunáremos,desayunareis,desayunaren
115,ofreciere,ofrecieres,ofreciere,ofreciéremos,ofreciereis,ofrecieren
116,rompiere,rompieres,rompiere,rompiéremos,rompiereis,rompieren
117,hackeare,hackeares,hackeare,hackeáremos,hackeareis,hackearen
118,devolviere,devolvieres,devolviere,devolviéremos,devolviereis,devolvieren
119,cubriere,cubrieres,cubriere,cubriéremos,cubriereis,cubrieren
120,oliere,olieres,oliere,oliéremos,oliereis,olieren
121,mantuviere,mantuvieres,mantuviere,mantuviéremos,mantuviereis,mantuvieren
122,mandare,mandares,mandare,mandáremos,mandareis,mandaren
123,construyere,construyeres,construyere,construyéremos,construyereis,construyeren
124,naciere,nacieres,naciere,naciéremos,naciereis,nacieren
125,comprendiere,comprendieres,comprendiere,comprendiéremos,comprendiereis,comprendieren
126,permitiere,permitieres,permitiere,permitiéremos,permitiereis,permitieren
127,olvidare,olvidares,olvidare,olvidáremos,olvidareis,olvidaren
128,abanderare,abanderares,abanderare,abanderáremos,abanderareis,abanderaren
129,recomendare,recomendares,recomendare,recomendáremos,recomendareis,recomendaren
130,asistiere,asistieres,asistiere,asistiéremos,asistiereis,asistieren
131,costare,costares,costare,costáremos,costareis,costaren
132,enviare,enviares,enviare,enviáremos,enviareis,enviaren
133,preparare,preparares,preparare,preparáremos,preparareis,prepararen
134,cocinare,cocinares,cocinare,cocináremos,cocinareis,cocinaren
135,compartiere,compartieres,compartiere,compartiéremos,compartiereis,compartieren
136,preguntare,preguntares,preguntare,preguntáremos,preguntareis,preguntaren
137,cuidare,cuidares,cuidare,cuidáremos,cuidareis,cuidaren
138,resolviere,resolvieres,resolviere,resolviéremos,resolviereis,resolvieren
139,callare,callares,callare,calláremos,callareis,callaren
140,recogiere,recogieres,recogiere,recogiéremos,recogiereis,recogieren
141,mostrare,mostrares,mostrare,mostráremos,mostrareis,mostraren
142,helare,helares,helare,heláremos,helareis,helaren
143,rogare,rogares,rogare,rogáremos,rogareis,rogaren
144,creciere,crecieres,creciere,creciéremos,creciereis,crecieren
145,hinchiere,hinchieres,hinchiere,hinchiéremos,hinchiereis,hinchieren
146,habituare,habituares,habituare,habituáremos,habituareis,habituaren
147,amare,amares,amare,amáremos,amareis,amaren
148,sonare,sonares,sonare,sonáremos,sonareis,sonaren
149,escogiere,escogieres,escogiere,escogiéremos,escogiereis,escogieren
150,doliere,dolieres,doliere,doliéremos,doliereis,dolieren
151,exigiere,exigieres,exigiere,exigiéremos,exigiereis,exigieren
152,entrare,entrares,entrare,entráremos,entrareis,entraren
153,volare,volares,volare,voláremos,volareis,volaren
154,explicare,explicares,explicare,explicáremos,explicareis,explicaren
155,destruyere,destruyeres,destruyere,destruyéremos,destruyereis,destruyeren
156,navegare,navegares,navegare,navegáremos,navegareis,navegaren
157,llorare,llorares,llorare,lloráremos,llorareis,lloraren
158,valiere,valieres,valiere,valiéremos,valiereis,valieren
159,apagare,apagares,apagare,apagáremos,apagareis,apagaren
160,probare,probares,probare,probáremos,probareis,probaren
161,halagare,halagares,halagare,halagáremos,halagareis,halagaren
162,manejare,manejares,manejare,manejáremos,manejareis,manejaren
163,cortare,cortares,cortare,cortáremos,cortareis,cortaren
164,obtuviere,obtuvieres,obtuviere,obtuviéremos,obtuviereis,obtuvieren
165,gozare,gozares,gozare,gozáremos,gozareis,gozaren
166,hartare,hartares,hartare,hartáremos,hartareis,hartaren
167,sufriere,sufrieres,sufriere,sufriéremos,sufriereis,sufrieren
168,incluyere,incluyeres,incluyere,incluyéremos,incluyereis,incluyeren
169,habilitare,habilitares,habilitare,habilitáremos,habilitareis,habilitaren
170,aburriere,aburrieres,aburriere,aburriéremos,aburriereis,aburrieren
171,habitare,habitares,habitare,habitáremos,habitareis,habitaren
172,echare,echares,echare,echáremos,echareis,echaren
173,regresare,regresares,regresare,regresáremos,regresareis,regresaren
174,corrigiere,corrigieres,corrigiere,corrigiéremos,corrigiereis,corrigieren
175,prestare,prestares,prestare,prestáremos,prestareis,prestaren
176,barriere,barrieres,barriere,barriéremos,barriereis,barrieren
177,hacendare,hacendares,hacendare,hacendáremos,hacendareis,hacendaren
178,secare,secares,secare,secáremos,secareis,secaren
179,cruzare,cruzares,cruzare,cruzáremos,cruzareis,cruzaren
180,hinchare,hinchares,hinchare,hincháremos,hinchareis,hincharen
181,hostigare,hostigares,hostigare,hostigáremos,hostigareis,hostigaren
182,empacare,empacares,empacare,empacáremos,empacareis,empacaren
183,hospedare,hospedares,hospedare,hospedáremos,hospedareis,hospedaren
184,cenare,cenares,cenare,cenáremos,cenareis,cenaren
185,defendiere,defendieres,defendiere,defendiéremos,defendiereis,defendieren
186,entregare,entregares,entregare,entregáremos,entregareis,entregaren
187,sumergiere,sumergieres,sumergiere,sumergiéremos,sumergiereis,sumergieren
188,produjere,produjeres,produjere,produjéremos,produjereis,produjeren
189,acabare,acabares,acabare,acabáremos,acabareis,acabaren
190,organizare,organizares,organizare,organizáremos,organizareis,organizaren
191,bajare,bajares,bajare,bajáremos,bajareis,bajaren
192,soliere,solieres,soliere,soliéremos,soliereis,solieren
193,patinare,patinares,patinare,patináremos,patinareis,patinaren
194,colgare,colgares,colgare,colgáremos,colgareis,colgaren
195,calentare,calentares,calentare,calentáremos,calentareis,calentaren
196,hipnotizare,hipnotizares,hipnotizare,hipnotizáremos,hipnotizareis,hipnotizaren
197,peinare,peinares,peinare,peináremos,peinareis,peinaren
198,tendiere,tendieres,tendiere,tendiéremos,tendiereis,tendieren
199,contestare,contestares,contestare,contestáremos,contestareis,contestaren
200,encendiere,encendieres,encendiere,encendiéremos,encendiereis,encendieren
201,participare,participares,participare,participáremos,participareis,participaren
202,hacinare,hacinares,hacinare,hacináremos,hacinareis,hacinaren
203,quitare,quitares,quitare,quitáremos,quitareis,quitaren
204,heredare,heredares,heredare,heredáremos,heredareis,heredaren
205,creare,creares,creare,creáremos,creareis,crearen
206,discutiere,discutieres,discutiere,discutiéremos,discutiereis,discutieren
207,aceptare,aceptares,aceptare,aceptáremos,aceptareis,aceptaren
208,descubriere,descubrieres,descubriere,descubriéremos,descubriereis,descubrieren
209,gastare,gastares,gastare,gastáremos,gastareis,gastaren
210,dirigiere,dirigieres,dirigiere,dirigiéremos,dirigiereis,dirigieren
211,abrazare,abrazares,abrazare,abrazáremos,abrazareis,abrazaren
212,yaciere,yacieres,yaciere,yaciéremos,yaciereis,yacieren
213,parare,parares,parare,paráremos,parareis,pararen
214,obedeciere,obedecieres,obedeciere,obedeciéremos,obedeciereis,obedecieren
215,disfrutare,disfrutares,disfrutare,disfrutáremos,disfrutareis,disfrutaren
216,negare,negares,negare,negáremos,negareis,negaren
217,interesare,interesares,interesare,interesáremos,interesareis,interesaren
218,tratare,tratares,tratare,tratáremos,tratareis,trataren
219,protegiere,protegieres,protegiere,protegiéremos,protegiereis,protegieren
220,cumpliere,cumplieres,cumpliere,cumpliéremos,cumpliereis,cumplieren
221,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren
222,midiere,midieres,midiere,midiéremos,midiereis,midieren
223,nevare,nevares,nevare,neváremos,nevareis,nevaren
224,cansare,cansares,cansare,cansáremos,cansareis,cansaren
225,sacudiere,sacudieres,sacudiere,sacudiéremos,sacudiereis,sacudieren
226,invirtiere,invirtieres,invirtiere,invirtiéremos,invirtiereis,invirtieren
227,me arrepintiere,te arrepintieres,se arrepintiere,nos arrepintiéremos,os arrepintiereis,se arrepintieren
228,fijare,fijares,fijare,fijáremos,fijareis,fijaren
229,duchare,duchares,duchare,ducháremos,duchareis,ducharen
230,encantare,encantares,encantare,encantáremos,encantareis,encantaren
231,firmare,firmares,firmare,firmáremos,firmareis,firmaren
232,sofriere,sofrieres,sofriere,sofriéremos,sofriereis,sofrieren
233,besare,besares,besare,besáremos,besareis,besaren
234,contribuyere,contribuyeres,contribuyere,contribuyéremos,contribuyereis,contribuyeren
235,mezclare,mezclares,mezclare,mezcláremos,mezclareis,mezclaren
236,llenare,llenares,llenare,llenáremos,llenareis,llenaren
237,regare,regares,regare,regáremos,regareis,regaren
238,bendijere,bendijeres,bendijere,bendijéremos,bendijereis,bendijeren
239,acordare,acordares,acordare,acordáremos,acordareis,acordaren
240,utilizare,utilizares,utilizare,utilizáremos,utilizareis,utilizaren
241,reciclare,reciclares,reciclare,recicláremos,reciclareis,reciclaren
242,ahorrare,ahorrares,ahorrare,ahorráremos,ahorrareis,ahorraren
243,respondiere,respondieres,respondiere,respondiéremos,respondiereis,respondieren
244,paseare,paseares,paseare,paseáremos,paseareis,pasearen
245,poseyere,poseyeres,poseyere,poseyéremos,poseyereis,poseyeren
246,influyere,influyeres,influyere,influyéremos,influyereis,influyeren
247,malentendiere,malentendieres,malentendiere,malentendiéremos,malentendiereis,malentendieren
248,continuare,continuares,continuare,continuáremos,continuareis,continuaren
249,juntare,juntares,juntare,juntáremos,juntareis,juntaren
250,vacare,vacares,vacare,vacáremos,vacareis,vacaren
251,montare,montares,montare,montáremos,montareis,montaren
252,torciere,torcieres,torciere,torciéremos,torciereis,torcieren
253,intentare,intentares,intentare,intentáremos,intentareis,intentaren
254,supusiere,supusieres,supusiere,supusiéremos,supusiereis,supusieren
255,graduare,graduares,graduare,graduáremos,graduareis,graduaren
256,merendare,merendares,merendare,merendáremos,merendareis,merendaren
257,venciere,vencieres,venciere,venciéremos,venciereis,vencieren
258,partiere,partieres,partiere,partiéremos,partiereis,partieren
259,descansare,descansares,descansare,descansáremos,descansareis,descansaren
260,atrajere,atrajeres,atrajere,atrajéremos,atrajereis,atrajeren
261,estableciere,establecieres,estableciere,estableciéremos,estableciereis,establecieren
262,invitare,invitares,invitare,invitáremos,invitareis,invitaren
263,vertiere,vertieres,vertiere,vertiéremos,vertiereis,vertieren
264,ocurriere,ocurrieres,ocurriere,ocurriéremos,ocurriereis,ocurrieren
265,imprimiere,imprimieres,imprimiere,imprimiéremos,imprimiereis,imprimieren
266,buceare,buceares,buceare,buceáremos,buceareis,bucearen
267,zafare,zafares,zafare,zafáremos,zafareis,zafaren
268,abanicare,abanicares,abanicare,abanicáremos,abanicareis,abanicaren
269,reconociere,reconocieres,reconociere,reconociéremos,reconociereis,reconocieren
270,gritare,gritares,gritare,gritáremos,gritareis,gritaren
271,convenciere,convencieres,convenciere,convenciéremos,convenciereis,convencieren
272,temiere,temieres,temiere,temiéremos,temiereis,temieren
273,satisficiere,satisficieres,satisficiere,satisficiéremos,satisficiereis,satisficieren
274,matare,matares,matare,matáremos,matareis,mataren
275,advirtiere,advirtieres,advirtiere,advirtiéremos,advirtiereis,advirtieren
276,abogare,abogares,abogare,abogáremos,abogareis,abogaren
277,insistiere,insistieres,insistiere,insistiéremos,insistiereis,insistieren
278,apeteciere,apetecieres,apeteciere,apeteciéremos,apeteciereis,apetecieren
279,faltare,faltares,faltare,faltáremos,faltareis,faltaren
280,girare,girares,girare,giráremos,girareis,giraren
281,preocupare,preocupares,preocupare,preocupáremos,preocupareis,preocuparen
282,arreglare,arreglares,arreglare,arregláremos,arreglareis,arreglaren
283,adelgazare,adelgazares,adelgazare,adelgazáremos,adelgazareis,adelgazaren
284,metiere,metieres,metiere,metiéremos,metiereis,metieren
285,saludare,saludares,saludare,saludáremos,saludareis,saludaren
286,fingiere,fingieres,fingiere,fingiéremos,fingiereis,fingieren
287,peleare,peleares,peleare,peleáremos,peleareis,pelearen
288,picare,picares,picare,picáremos,picareis,picaren
289,tirare,tirares,tirare,tiráremos,tirareis,tiraren
290,cagare,cagares,cagare,cagáremos,cagareis,cagaren
291,vaciare,vaciares,vaciare,vaciáremos,vaciareis,vaciaren
292,dedicare,dedicares,dedicare,dedicáremos,dedicareis,dedicaren
293,mudare,mudares,mudare,mudáremos,mudareis,mudaren
294,sorprendiere,sorprendieres,sorprendiere,sorprendiéremos,sorprendiereis,sorprendieren
295,abatiere,abatieres,abatiere,abatiéremos,abatiereis,abatieren
296,uniere,unieres,uniere,uniéremos,uniereis,unieren
297,saltare,saltares,saltare,saltáremos,saltareis,saltaren
298,quemare,quemares,quemare,quemáremos,quemareis,quemaren
299,recomenzare,recomenzares,recomenzare,recomenzáremos,recomenzareis,recomenzaren
300,odiare,odiares,odiare,odiáremos,odiareis,odiaren
301,actuare,actuares,actuare,actuáremos,actuareis,actuaren
302,apareciere,aparecieres,apareciere,apareciéremos,apareciereis,aparecieren
303,salvare,salvares,salvare,salváremos,salvareis,salvaren
304,agradeciere,agradecieres,agradeciere,agradeciéremos,agradeciereis,agradecieren
305,dibujare,dibujares,dibujare,dibujáremos,dibujareis,dibujaren
306,guardare,guardares,guardare,guardáremos,guardareis,guardaren
307,impidiere,impidieres,impidiere,impidiéremos,impidiereis,impidieren
308,aprobare,aprobares,aprobare,aprobáremos,aprobareis,aprobaren
309,fumare,fumares,fumare,fumáremos,fumareis,fumaren
310,celebrare,celebrares,celebrare,celebráremos,celebrareis,celebraren
311,recorriere,recorrieres,recorriere,recorriéremos,recorriereis,recorrieren
312,reuniere,reunieres,reuniere,reuniéremos,reuniereis,reunieren
313,quebrare,quebrares,quebrare,quebráremos,quebrareis,quebraren
314,redujere,redujeres,redujere,redujéremos,redujereis,redujeren
315,tardare,tardares,tardare,tardáremos,tardareis,tardaren
316,mereciere,merecieres,mereciere,mereciéremos,mereciereis,merecieren
317,realizare,realizares,realizare,realizáremos,realizareis,realizaren
318,marchare,marchares,marchare,marcháremos,marchareis,marcharen
319,ejerciere,ejercieres,ejerciere,ejerciéremos,ejerciereis,ejercieren
320,cuestionare,cuestionares,cuestionare,cuestionáremos,cuestionareis,cuestionaren
321,compitiere,compitieres,compitiere,compitiéremos,compitiereis,compitieren
322,chocare,chocares,chocare,chocáremos,chocareis,chocaren
323,ordenare,ordenares,ordenare,ordenáremos,ordenareis,ordenaren
324,marcare,marcares,marcare,marcáremos,marcareis,marcaren
325,averiguare,averiguares,averiguare,averiguáremos,averiguareis,averiguaren
326,demostrare,demostrares,demostrare,demostráremos,demostrareis,demostraren
327,cancelare,cancelares,cancelare,canceláremos,cancelareis,cancelaren
328,convirtiere,convirtieres,convirtiere,convirtiéremos,convirtiereis,convirtieren
329,lanzare,lanzares,lanzare,lanzáremos,lanzareis,lanzaren
330,acercare,acercares,acercare,acercáremos,acercareis,acercaren
331,pintare,pintares,pintare,pintáremos,pintareis,pintaren
332,afeitare,afeitares,afeitare,afeitáremos,afeitareis,afeitaren
333,escondiere,escondieres,escondiere,escondiéremos,escondiereis,escondieren
334,pegare,pegares,pegare,pegáremos,pegareis,pegaren
335,enfocare,enfocares,enfocare,enfocáremos,enfocareis,enfocaren
336,aboliere,abolieres,aboliere,aboliéremos,aboliereis,abolieren
337,coligiere,coligieres,coligiere,coligiéremos,coligiereis,coligieren
338,gimiere,gimieres,gimiere,gimiéremos,gimiereis,gimieren
339,abstuviere,abstuvieres,abstuviere,abstuviéremos,abstuviereis,abstuvieren
340,alquilare,alquilares,alquilare,alquiláremos,alquilareis,alquilaren
341,kilometrare,kilometrares,kilometrare,kilometráremos,kilometrareis,kilometraren
342,apoyare,apoyares,apoyare,apoyáremos,apoyareis,apoyaren
343,esquiare,esquiares,esquiare,esquiáremos,esquiareis,esquiaren
344,amenazare,amenazares,amenazare,amenazáremos,amenazareis,amenazaren
345,avisare,avisares,avisare,avisáremos,avisareis,avisaren
346,planeare,planeares,planeare,planeáremos,planeareis,planearen
347,abocare,abocares,abocare,abocáremos,abocareis,abocaren
348,desapareciere,desaparecieres,desapareciere,desapareciéremos,desapareciereis,desaparecieren
349,cargare,cargares,cargare,cargáremos,cargareis,cargaren
350,abarcare,abarcares,abarcare,abarcáremos,abarcareis,abarcaren
351,abofeteare,abofeteares,abofeteare,abofeteáremos,abofeteareis,abofetearen
352,borrare,borrares,borrare,borráremos,borrareis,borraren
353,atendiere,atendieres,atendiere,atendiéremos,atendiereis,atendieren
354,abdicare,abdicares,abdicare,abdicáremos,abdicareis,abdicaren
355,ocupare,ocupares,ocupare,ocupáremos,ocupareis,ocuparen
356,guiare,guiares,guiare,guiáremos,guiareis,guiaren
357,propusiere,propusieres,propusiere,propusiéremos,propusiereis,propusieren
358,abasteciere,abastecieres,abasteciere,abasteciéremos,abasteciereis,abastecieren
359,tosiere,tosieres,tosiere,tosiéremos,tosiereis,tosieren
360,aterrizare,aterrizares,aterrizare,aterrizáremos,aterrizareis,aterrizaren
361,definiere,definieres,definiere,definiéremos,definiereis,definieren
362,calificare,calificares,calificare,calificáremos,calificareis,calificaren
363,describiere,describieres,describiere,describiéremos,describiereis,describieren
364,dependiere,dependieres,dependiere,dependiéremos,dependiereis,dependieren
365,xerocopiare,xerocopiares,xerocopiare,xerocopiáremos,xerocopiareis,xerocopiaren
366,deletreare,deletreares,deletreare,deletreáremos,deletreareis,deletrearen
367,opusiere,opusieres,opusiere,opusiéremos,opusiereis,opusieren
368,cabalgare,cabalgares,cabalgare,cabalgáremos,cabalgareis,cabalgaren
369,aprovechare,aprovechares,aprovechare,aprovecháremos,aprovechareis,aprovecharen
370,golpeare,golpeares,golpeare,golpeáremos,golpeareis,golpearen
371,alcanzare,alcanzares,alcanzare,alcanzáremos,alcanzareis,alcanzaren
372,beneficiare,beneficiares,beneficiare,beneficiáremos,beneficiareis,beneficiaren
373,cepillare,cepillares,cepillare,cepilláremos,cepillareis,cepillaren
374,gobernare,gobernares,gobernare,gobernáremos,gobernareis,gobernaren
375,mordiere,mordieres,mordiere,mordiéremos,mordiereis,mordieren
376,abonare,abonares,abonare,abonáremos,abonareis,abonaren
377,sembrare,sembrares,sembrare,sembráremos,sembrareis,sembraren
378,transfiriere,transfirieres,transfiriere,transfiriéremos,transfiriereis,transfirieren
379,colocare,colocares,colocare,colocáremos,colocareis,colocaren
380,colocare,colocares,colocare,colocáremos,colocareis,colocaren
381,juzgare,juzgares,juzgare,juzgáremos,juzgareis,juzgaren
382,prohibiere,prohibieres,prohibiere,prohibiéremos,prohibiereis,prohibieren
383,detuviere,detuvieres,detuviere,detuviéremos,detuviereis,detuvieren
384,publicare,publicares,publicare,publicáremos,publicareis,publicaren
385,malgastare,malgastares,malgastare,malgastáremos,malgastareis,malgastaren
386,madrugare,madrugares,madrugare,madrugáremos,madrugareis,madrugaren
387,enamorare,enamorares,enamorare,enamoráremos,enamorareis,enamoraren
388,regalare,regalares,regalare,regaláremos,regalareis,regalaren
389,imaginare,imaginares,imaginare,imagináremos,imaginareis,imaginaren
390,mejorare,mejorares,mejorare,mejoráremos,mejorareis,mejoraren
391,padeciere,padecieres,padeciere,padeciéremos,padeciereis,padecieren
392,fascinare,fascinares,fascinare,fascináremos,fascinareis,fascinaren
393,adquiriere,adquirieres,adquiriere,adquiriéremos,adquiriereis,adquirieren
394,zampare,zampares,zampare,zampáremos,zampareis,zamparen
395,abominare,abominares,abominare,abomináremos,abominareis,abominaren
396,jurare,jurares,jurare,juráremos,jurareis,juraren
397,dudare,dudares,dudare,dudáremos,dudareis,dudaren
398,persiguiere,persiguieres,persiguiere,persiguiéremos,persiguiereis,persiguieren
399,maquillare,maquillares,maquillare,maquilláremos,maquillareis,maquillaren
400,bautizare,bautizares,bautizare,bautizáremos,bautizareis,bautizaren
401,jubilare,jubilares,jubilare,jubiláremos,jubilareis,jubilaren
402,rechazare,rechazares,rechazare,rechazáremos,rechazareis,rechazaren
403,introdujere,introdujeres,introdujere,introdujéremos,introdujereis,introdujeren
404,bienquisiere,bienquisieres,bienquisiere,bienquisiéremos,bienquisiereis,bienquisieren
405,impusiere,impusieres,impusiere,impusiéremos,impusiereis,impusieren
406,bastare,bastares,bastare,bastáremos,bastareis,bastaren
407,obligare,obligares,obligare,obligáremos,obligareis,obligaren
408,confiare,confiares,confiare,confiáremos,confiareis,confiaren
409,temblare,temblares,temblare,tembláremos,temblareis,temblaren
410,perteneciere,pertenecieres,perteneciere,perteneciéremos,perteneciereis,pertenecieren
411,eliminare,eliminares,eliminare,elimináremos,eliminareis,eliminaren
412,confesare,confesares,confesare,confesáremos,confesareis,confesaren
413,percatare,percatares,percatare,percatáremos,percatareis,percataren
414,enfriare,enfriares,enfriare,enfriáremos,enfriareis,enfriaren
415,grabare,grabares,grabare,grabáremos,grabareis,grabaren
416,pelare,pelares,pelare,peláremos,pelareis,pelaren
417,identificare,identificares,identificare,identificáremos,identificareis,identificaren
